K,dataset,graphid,r,n,m,tr_utility,ts_utility,tr_size,ts_size,tr_only-Ns,ts_only-Ns,tr_empty_adj,ts_empty_adj,tr_perf1,ts_perf1,tr_perf2,ts_perf2,tr_perf3,ts_perf3,greedyTime
3,studentportuguese (30),7,7.5,224,50,136.53766666666664,59.30978665537362,156.0,68.0,11.23,4.77,4.92,2.08,97.63109000000003,96.98895999999999,87.52412,87.22026000000001,97.58201,96.92760999999999,0.4075469541549683
4,studentportuguese (30),7,7.5,224,50,137.7333333333333,59.457953322040275,156.0,68.0,11.23,4.77,4.92,2.08,98.48645,97.23163000000001,88.29056999999999,87.43812,98.45498999999998,97.17605999999999,0.5378795146942139
5,studentportuguese (30),7,7.5,224,50,138.6235,59.612857142857145,156.0,68.0,11.23,4.77,4.92,2.08,99.12339,97.48685000000002,88.86122000000002,87.66593999999999,99.10509,97.43578999999998,0.6520936393737793
1,studentportuguese (30),8,8.0,224,50,139.90582015410845,61.02634063992995,156.0,68.0,4.88,2.12,2.14,0.86,93.90918000000002,93.85271,89.68320999999997,89.74464000000002,93.88047,93.82881999999998,0.15709258794784545
2,studentportuguese (30),8,8.0,224,50,144.71076913437443,62.91683048968575,156.0,68.0,4.88,2.12,2.14,0.86,97.13500999999998,96.76648000000002,92.76329999999996,92.52481000000002,97.12176,96.75525000000002,0.31039015293121336
3,studentportuguese (30),8,8.0,224,50,146.5233095238095,63.18651592924619,156.0,68.0,4.88,2.12,2.14,0.86,98.35167,97.18323000000001,93.92519999999999,92.92139999999999,98.34399000000002,97.1735,0.46135085105895995
4,studentportuguese (30),8,8.0,224,50,147.72877289377288,63.43815155677655,156.0,68.0,4.88,2.12,2.14,0.86,99.16077000000001,97.57034000000002,94.69793,93.29141000000001,99.15700999999999,97.5624,0.6128359150886535
5,studentportuguese (30),8,8.0,224,50,148.38954212454212,63.61493177655678,156.0,68.0,4.88,2.12,2.14,0.86,99.60407,97.83997000000001,95.12148,93.55135999999999,99.60231,97.83301,0.7650514435768128
1,studentportuguese (30),9,8.5,224,50,147.87028587077884,64.08514683057777,156.0,68.0,2.18,0.82,0.65,0.35,96.54002999999999,95.89276,94.78868,94.24286000000002,96.54002999999999,95.89276,0.16056665658950806
2,studentportuguese (30),9,8.5,224,50,150.94914722042662,65.25995579143789,156.0,68.0,2.18,0.82,0.65,0.35,98.55033999999999,97.65102,96.76221,95.97051000000002,98.55033999999999,97.65102,0.3189109373092651
