K,dataset,graphid,r,n,m,tr_utility,ts_utility,tr_size,ts_size,tr_only-Ns,ts_only-Ns,tr_empty_adj,ts_empty_adj,tr_perf1,ts_perf1,tr_perf2,ts_perf2,tr_perf3,ts_perf3,greedyTime
5,studentmath (30),9,8.5,206,39,141.91,60.494725274725276,144.0,62.0,2.09,0.91,0.0,0.0,100.0,99.02488,98.54876,97.57217,100.0,99.01891000000002,0.5002661442756653
1,studentmath (30),10,9.0,206,39,140.87863882230008,60.660721734148204,144.0,62.0,1.35,0.65,0.0,0.0,98.75842000000003,98.87728000000001,97.83246999999997,97.83982000000002,98.75220000000003,98.87068000000001,0.12318432331085205
2,studentmath (30),10,9.0,206,39,141.98467914438504,60.6669717341482,144.0,62.0,1.35,0.65,0.0,0.0,99.53379000000001,98.88753000000001,98.60043,97.84990000000002,99.53134,98.8811,0.24409745931625365
3,studentmath (30),10,9.0,206,39,142.55588235294118,60.6669717341482,144.0,62.0,1.35,0.65,0.0,0.0,99.93412000000001,98.88753000000001,98.99725000000004,97.84990000000002,99.93374,98.8811,0.36226372957229613
4,studentmath (30),10,9.0,206,39,142.65,60.6669717341482,144.0,62.0,1.35,0.65,0.0,0.0,100.0,98.88753000000001,99.06265000000003,97.84990000000002,100.0,98.8811,0.4537264847755432
5,studentmath (30),10,9.0,206,39,142.65,60.6669717341482,144.0,62.0,1.35,0.65,0.0,0.0,100.0,98.88753000000001,99.06265000000003,97.84990000000002,100.0,98.8811,0.4851578974723816
1,studentmath (30),11,9.5,206,39,142.40664458174956,60.990898731562154,144.0,62.0,0.66,0.34,0.0,0.0,99.34897,98.91514000000001,98.89341,98.37241,99.34897,98.91514000000001,0.11864728689193725
2,studentmath (30),11,9.5,206,39,143.34,61.30913375130616,144.0,62.0,0.66,0.34,0.0,0.0,100.0,99.43101,99.54196000000003,98.88561,100.0,99.43101,0.23399074077606202
3,studentmath (30),11,9.5,206,39,143.34,61.30913375130616,144.0,62.0,0.66,0.34,0.0,0.0,100.0,99.43101,99.54196000000003,98.88561,100.0,99.43101,0.3338160586357117
4,studentmath (30),11,9.5,206,39,143.34,61.30913375130616,144.0,62.0,0.66,0.34,0.0,0.0,100.0,99.43101,99.54196000000003,98.88561,100.0,99.43101,0.3307474040985107
5,studentmath (30),11,9.5,206,39,143.34,61.30913375130616,144.0,62.0,0.66,0.34,0.0,0.0,100.0,99.43101,99.54196000000003,98.88561,100.0,99.43101,0.3344726490974426
1,studentmath (30),12,10.0,206,40,143.34,61.607000000000006,144.0,62.0,0.66,0.34,0.0,0.0,100.0,99.91405999999999,99.54196000000003,99.36611,100.0,99.91405999999999,0.12008814334869385
2,studentmath (30),12,10.0,206,40,143.34,61.607000000000006,144.0,62.0,0.66,0.34,0.0,0.0,100.0,99.91405999999999,99.54196000000003,99.36611,100.0,99.91405999999999,0.23171400547027587
3,studentmath (30),12,10.0,206,40,143.34,61.607000000000006,144.0,62.0,0.66,0.34,0.0,0.0,100.0,99.91405999999999,99.54196000000003,99.36611,100.0,99.91405999999999,0.2321726107597351
4,studentmath (30),12,10.0,206,40,143.34,61.607000000000006,144.0,62.0,0.66,0.34,0.0,0.0,100.0,99.91405999999999,99.54196000000003,99.36611,100.0,99.91405999999999,0.23195070266723633
5,studentmath (30),12,10.0,206,40,143.34,61.607000000000006,144.0,62.0,0.66,0.34,0.0,0.0,100.0,99.91405999999999,99.54196000000003,99.36611,100.0,99.91405999999999,0.2316816544532776
