K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,r,n,m,dataset,graphid
4,"{0, 10, 28, 38}",41.66666666666666,"{0, 36, 6, 39}",37.13333333333333,"{0, 10, 28, 38}",41.66666666666666,"{0, 33, 28, 7}",39.0,41.666666666666664,"{0, 10, 3, 38}",0.9999999999999998,0.8912,0.9999999999999998,0.936,4.473814010620117,5.0,206,24,studentmath (30),2
5,"{0, 2, 38, 10, 28}",42.0,"{0, 36, 6, 39, 11}",37.63333333333333,"{17, 3, 35, 10, 11}",42.0,"{0, 33, 7, 26, 28}",39.0,42.0,"{0, 2, 3, 38, 10}",1.0,0.8960317460317461,1.0,0.9285714285714286,19.827572107315063,5.0,206,24,studentmath (30),2
1,{38},66.71666666666667,{7},60.33762626262626,{38},66.71666666666667,{8},53.19119769119769,66.71666666666667,{38},1.0,0.904386104361123,1.0,0.7972700128583216,0.015877723693847656,5.5,206,32,studentmath (30),3
2,"{2, 38}",69.0,"{1, 7}",61.00429292929292,"{2, 38}",69.0,"{8, 3}",57.876515151515136,69.0,"{2, 38}",1.0,0.8841201873810569,1.0,0.8387900746596396,0.24848103523254395,5.5,206,32,studentmath (30),3
3,"{2, 38, 39}",70.83333333333333,"{1, 23, 7}",61.00429292929292,"{2, 38, 39}",70.83333333333333,"{8, 3, 29}",58.74873737373736,71.21666666666667,"{17, 10, 38}",0.994617364849052,0.8566013516867717,0.994617364849052,0.8249296144217744,2.5167112350463867,5.5,206,32,studentmath (30),3
4,"{17, 2, 38, 39}",72.16666666666666,"{1, 23, 17, 7}",63.29794372294372,"{17, 10, 3, 38}",72.45151515151514,"{8, 10, 3, 29}",62.45737595737594,72.63333333333333,"{17, 2, 10, 38}",0.9935750344194585,0.8714723780120752,0.9974967666569318,0.8598996230937487,18.6733660697937,5.5,206,32,studentmath (30),3
5,"{2, 38, 7, 39, 17}",73.16666666666667,"{1, 7, 14, 17, 23}",63.29794372294372,"{2, 39, 38, 7, 28}",72.99999999999999,"{3, 37, 8, 10, 29}",63.8740426240426,73.46666666666667,"{2, 38, 7, 10, 17}",0.9959165154264973,0.8615872557569472,0.9936479128856622,0.8694288923417777,106.16126203536987,5.5,206,32,studentmath (30),3
1,{38},98.16825396825398,{7},89.50992063492063,{38},98.16825396825398,{6},92.11300366300368,98.16825396825398,{38},1.0,0.911801086569867,1.0,0.938317632630927,0.022139787673950195,6.0,206,38,studentmath (30),4
2,"{2, 38}",106.6702380952381,"{1, 7}",89.90992063492064,"{2, 38}",106.6702380952381,"{0, 6}",97.79761904761904,106.6702380952381,"{2, 38}",1.0,0.8428772846147264,1.0,0.9168219814068723,0.4075131416320801,6.0,206,38,studentmath (30),4
3,"{2, 38, 6}",109.76190476190476,"{1, 18, 7}",90.74325396825397,"{2, 38, 6}",109.76190476190476,"{0, 27, 6}",98.89761904761905,109.76190476190477,"{38, 2, 6}",0.9999999999999999,0.8267281272595806,0.9999999999999999,0.9010195227765726,5.216433763504028,6.0,206,38,studentmath (30),4
