[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
2,132.0,"{2, 38}",2,120.33333333333346,"{17, 10}","{17, 2, 10, 38}",143.66666666666666,2
3,141.66666666666669,"{2, 38, 6}",1,109.83333333333343,{10},"{2, 10, 38, 6}",145.49999999999997,2
4,148.33333333333334,"{0, 2, 38, 6}",0,100.3333333333334,set(),"{0, 2, 38, 6}",148.33333333333334,2
0,100.3333333333334,set(),5,140.33333333333334,"{3, 37, 10, 11, 17}","{17, 3, 37, 10, 11}",140.33333333333334,2
1,116.66666666666673,{38},4,135.33333333333337,"{11, 17, 10, 3}","{17, 3, 38, 10, 11}",140.99999999999997,2
2,132.0,"{2, 38}",3,129.66666666666674,"{17, 10, 3}","{17, 2, 3, 38, 10}",145.5,2
3,141.66666666666669,"{2, 38, 6}",2,120.33333333333346,"{17, 10}","{17, 2, 38, 6, 10}",151.16666666666663,2
4,148.33333333333334,"{0, 2, 38, 6}",1,109.83333333333343,{10},"{0, 2, 38, 6, 10}",151.8333333333333,2
5,153.0,"{0, 2, 38, 6, 28}",0,100.3333333333334,set(),"{0, 2, 38, 6, 28}",153.0,2
0,103.75,set(),1,113.9166666666667,{3},{3},113.9166666666667,3
1,125.0,{2},0,103.75,set(),{2},125.0,3
0,103.75,set(),2,123.83333333333339,"{10, 3}","{10, 3}",123.83333333333339,3
1,125.0,{2},1,113.9166666666667,{3},"{2, 3}",132.00000000000003,3
2,144.0,"{2, 38}",0,103.75,set(),"{2, 38}",144.0,3
0,103.75,set(),3,134.1666666666667,"{17, 10, 3}","{17, 10, 3}",134.1666666666667,3
1,125.0,{2},2,123.83333333333339,"{10, 3}","{3, 2, 10}",138.5,3
2,144.0,"{2, 38}",1,113.9166666666667,{3},"{2, 3, 38}",146.74999999999997,3
3,154.75,"{0, 2, 38}",0,103.75,set(),"{0, 2, 38}",154.75,3
0,103.75,set(),4,141.16666666666669,"{11, 17, 10, 3}","{11, 17, 10, 3}",141.16666666666669,3
