[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
4,100.15238095238094,"{41, 42, 18, 44}",0,74.86406401812243,set(),"{41, 42, 18, 44}",100.15238095238094,4
0,74.86406401812243,set(),5,88.1780330780331,"{32, 37, 7, 45, 48}","{32, 48, 37, 7, 45}",88.1780330780331,4
1,90.50079365079364,{41},4,85.76615533589217,"{32, 48, 37, 45}","{32, 48, 37, 41, 45}",96.42261904761902,4
2,94.84761904761903,"{41, 44}",3,83.36011284467168,"{32, 37, 45}","{32, 37, 41, 44, 45}",98.0642857142857,4
3,98.48571428571427,"{41, 42, 44}",2,80.72215676480383,"{32, 45}","{32, 41, 42, 44, 45}",99.48571428571427,4
4,100.15238095238094,"{41, 42, 18, 44}",1,78.03724192474192,{32},"{32, 18, 41, 42, 44}",100.25238095238093,4
5,101.55238095238096,"{41, 42, 44, 47, 18}",0,74.86406401812243,set(),"{18, 41, 42, 44, 47}",101.55238095238096,4
0,97.25089835250746,set(),1,102.93102781462903,{45},{45},102.93102781462903,5
1,128.60263347763347,{42},0,97.25089835250746,set(),{42},128.60263347763347,5
0,97.25089835250746,set(),2,106.61469711233426,"{48, 45}","{48, 45}",106.61469711233426,5
1,128.60263347763347,{42},1,102.93102781462903,{45},"{42, 45}",131.93145743145746,5
2,138.67023809523806,"{42, 44}",0,97.25089835250746,set(),"{42, 44}",138.67023809523806,5
0,97.25089835250746,set(),3,110.64904766001213,"{48, 32, 45}","{48, 32, 45}",110.64904766001213,5
1,128.60263347763347,{42},2,106.61469711233426,"{48, 45}","{48, 42, 45}",133.89289321789326,5
2,138.67023809523806,"{42, 44}",1,102.93102781462903,{45},"{42, 44, 45}",140.9435064935065,5
3,143.6982683982684,"{24, 42, 44}",0,97.25089835250746,set(),"{24, 42, 44}",143.6982683982684,5
0,97.25089835250746,set(),4,114.47030453490808,"{48, 32, 37, 45}","{48, 32, 37, 45}",114.47030453490808,5
1,128.60263347763347,{42},3,110.64904766001213,"{48, 32, 45}","{48, 42, 32, 45}",135.06515429015428,5
