K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,dataset,graphid
1,132.39999999999998,{38},125.59999999999997,{6},132.39999999999998,{38},122.79999999999994,{7},198.0,"{0, 2, 38, 6, 39, 9, 7, 13, 21, 24, 27, 28}",198,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0541401273885351,0.6686868686868686,0.6343434343434342,1.0781758957654726,0.6686868686868686,0.6202020202020199,0.029659271240234375,0.0006048679351806641,5,206,39,studentmath (30),4
2,155.4000000000001,"{2, 38}",141.20000000000002,"{0, 6}",155.4000000000001,"{2, 38}",127.39999999999996,"{1, 7}",198.0,"{0, 2, 38, 6, 39, 9, 7, 13, 21, 24, 27, 28}",198,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.100566572237961,0.7848484848484854,0.7131313131313132,1.2197802197802208,0.7848484848484854,0.6434343434343432,0.05793404579162598,0.0006170272827148438,5,206,39,studentmath (30),4
3,168.00000000000009,"{0, 2, 38}",146.40000000000003,"{0, 27, 6}",168.00000000000009,"{0, 2, 38}",130.59999999999997,"{1, 18, 7}",198.0,"{0, 2, 38, 6, 39, 9, 7, 13, 21, 24, 27, 28}",198,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1475409836065578,0.848484848484849,0.7393939393939396,1.2863705972434927,0.848484848484849,0.6595959595959594,0.11144018173217773,0.001215219497680664,5,206,39,studentmath (30),4
4,175.80000000000007,"{0, 2, 28, 38}",159.80000000000004,"{0, 27, 6, 7}",175.80000000000007,"{0, 2, 28, 38}",131.14999999999995,"{1, 18, 15, 7}",198.0,"{0, 2, 38, 6, 39, 9, 7, 13, 21, 24, 27, 28}",198,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1001251564455572,0.8878787878787883,0.8070707070707073,1.3404498665650029,0.8878787878787883,0.6623737373737372,0.1566460132598877,0.0010101795196533203,5,206,39,studentmath (30),4
5,181.60000000000005,"{0, 2, 38, 6, 28}",164.4,"{0, 7, 6, 39, 27}",181.60000000000005,"{0, 2, 38, 6, 28}",131.54999999999995,"{1, 7, 14, 15, 18}",198.0,"{0, 2, 38, 6, 39, 9, 7, 13, 21, 24, 27, 28}",198,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.104622871046229,0.9171717171717174,0.8303030303030303,1.3804637020144441,0.9171717171717174,0.6643939393939392,0.18909978866577148,0.0009021759033203125,5,206,39,studentmath (30),4
1,138.16666666666663,{2},127.00000000000003,{6},138.16666666666663,{2},123.50000000000003,{7},200.0,"{0, 2, 38, 6, 39, 9, 7, 18, 21, 24, 28}",200,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0879265091863513,0.6908333333333332,0.6350000000000001,1.1187584345479076,0.6908333333333332,0.6175000000000002,0.03759622573852539,0.0008878707885742188,6,206,39,studentmath (30),5
2,164.33333333333331,"{2, 38}",144.3333333333333,"{0, 6}",164.33333333333331,"{2, 38}",128.5,"{1, 7}",200.0,"{0, 2, 38, 6, 39, 9, 7, 18, 21, 24, 28}",200,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1385681293302543,0.8216666666666665,0.7216666666666665,1.278858625162127,0.8216666666666665,0.6425,0.07944393157958984,0.0012929439544677734,6,206,39,studentmath (30),5
3,175.66666666666666,"{0, 2, 38}",148.83333333333326,"{0, 27, 6}",175.66666666666666,"{0, 2, 38}",132.66666666666669,"{1, 18, 7}",200.0,"{0, 2, 38, 6, 39, 9, 7, 18, 21, 24, 28}",200,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.180291153415454,0.8783333333333333,0.7441666666666663,1.3241206030150752,0.8783333333333333,0.6633333333333334,0.13913607597351074,0.0008111000061035156,6,206,39,studentmath (30),5
4,183.66666666666663,"{0, 2, 28, 38}",162.99999999999991,"{0, 27, 6, 7}",183.66666666666663,"{0, 2, 28, 38}",133.36666666666665,"{1, 18, 15, 7}",200.0,"{0, 2, 38, 6, 39, 9, 7, 18, 21, 24, 28}",200,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.12678936605317,0.9183333333333331,0.8149999999999996,1.377155711072232,0.9183333333333331,0.6668333333333333,0.1705312728881836,0.0013098716735839844,6,206,39,studentmath (30),5
5,189.3333333333333,"{0, 2, 38, 6, 28}",168.16666666666663,"{0, 7, 6, 39, 27}",189.3333333333333,"{0, 2, 38, 6, 28}",133.7166666666667,"{1, 7, 14, 15, 18}",200.0,"{0, 2, 38, 6, 39, 9, 7, 18, 21, 24, 28}",200,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1258671952428145,0.9466666666666664,0.8408333333333331,1.4159292035398223,0.9466666666666664,0.6685833333333335,0.22325992584228516,0.0013089179992675781,6,206,39,studentmath (30),5
