[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,96.62018030290102,set(),2,100.479894611173,"{8, 36}","{8, 36}",100.479894611173,6
1,144.19353587588884,{6},1,98.6204474137644,{36},"{36, 6}",144.77993512765187,6
2,155.7431651681652,"{0, 6}",0,96.62018030290102,set(),"{0, 6}",155.7431651681652,6
0,96.62018030290102,set(),3,106.60952607726405,"{8, 3, 36}","{8, 3, 36}",106.60952607726405,6
1,144.19353587588884,{6},2,100.479894611173,"{8, 36}","{8, 36, 6}",145.27616316432105,6
2,155.7431651681652,"{0, 6}",1,98.6204474137644,{36},"{0, 36, 6}",156.01727994227997,6
3,157.9098318348319,"{0, 27, 6}",0,96.62018030290102,set(),"{0, 27, 6}",157.9098318348319,6
0,96.62018030290102,set(),4,106.66011846733012,"{8, 3, 36, 15}","{8, 3, 36, 15}",106.66011846733012,6
1,144.19353587588884,{6},3,106.60952607726405,"{8, 3, 36}","{8, 3, 36, 6}",147.91739868318817,6
2,155.7431651681652,"{0, 6}",2,100.479894611173,"{8, 36}","{0, 8, 36, 6}",156.24087301587304,6
3,157.9098318348319,"{0, 27, 6}",1,98.6204474137644,{36},"{0, 27, 36, 6}",158.18394660894666,6
4,162.6925518925519,"{0, 27, 6, 7}",0,96.62018030290102,set(),"{0, 27, 6, 7}",162.6925518925519,6
0,96.62018030290102,set(),5,107.86484367273945,"{3, 36, 8, 14, 15}","{3, 36, 8, 14, 15}",107.86484367273945,6
1,144.19353587588884,{6},4,106.66011846733012,"{8, 3, 36, 15}","{3, 36, 6, 8, 15}",147.91739868318817,6
2,155.7431651681652,"{0, 6}",3,106.60952607726405,"{8, 3, 36}","{0, 3, 36, 6, 8}",157.8384670884671,6
3,157.9098318348319,"{0, 27, 6}",2,100.479894611173,"{8, 36}","{0, 36, 6, 8, 27}",158.4075396825397,6
4,162.6925518925519,"{0, 27, 6, 7}",1,98.6204474137644,{36},"{0, 36, 6, 7, 27}",162.91111111111113,6
5,164.1925518925519,"{0, 6, 39, 7, 27}",0,96.62018030290102,set(),"{0, 7, 6, 39, 27}",164.1925518925519,6
0,97.95856435731915,set(),1,100.20900801098774,{36},{36},100.20900801098774,7
1,165.7533055695594,{6},0,97.95856435731915,set(),{6},165.7533055695594,7
0,97.95856435731915,set(),2,102.52441943007561,"{8, 36}","{8, 36}",102.52441943007561,7
1,165.7533055695594,{6},1,100.20900801098774,{36},"{36, 6}",166.11691917903215,7
2,176.62612621296827,"{0, 6}",0,97.95856435731915,set(),"{0, 6}",176.62612621296827,7
0,97.95856435731915,set(),3,107.4225039559711,"{8, 3, 36}","{8, 3, 36}",107.4225039559711,7
1,165.7533055695594,{6},2,102.52441943007561,"{8, 36}","{8, 36, 6}",166.46277234547355,7
2,176.62612621296827,"{0, 6}",1,100.20900801098774,{36},"{0, 36, 6}",176.7565601065601,7
3,181.19315918000123,"{0, 27, 6}",0,97.95856435731915,set(),"{0, 27, 6}",181.19315918000123,7
