[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
1,119.66666666666664,{13},3,118.00000000000003,"{1, 36, 4}","{1, 4, 36, 13}",122.16666666666666,2
2,120.66666666666664,"{0, 13}",2,117.33333333333334,"{36, 4}","{0, 4, 36, 13}",122.49999999999999,2
3,130.00000000000003,"{0, 24, 13}",1,115.83333333333334,{36},"{0, 24, 36, 13}",130.50000000000003,2
4,130.6666666666667,"{0, 24, 13, 23}",0,115.00000000000001,set(),"{0, 24, 13, 23}",130.6666666666667,2
0,115.00000000000001,set(),5,118.66666666666669,"{1, 36, 4, 40, 11}","{1, 36, 4, 40, 11}",118.66666666666669,2
1,119.66666666666664,{13},4,118.33333333333334,"{40, 1, 36, 4}","{1, 36, 4, 40, 13}",122.5,2
2,120.66666666666664,"{0, 13}",3,118.00000000000003,"{1, 36, 4}","{0, 1, 36, 4, 13}",123.16666666666664,2
3,130.00000000000003,"{0, 24, 13}",2,117.33333333333334,"{36, 4}","{0, 36, 4, 24, 13}",131.83333333333334,2
4,130.6666666666667,"{0, 24, 13, 23}",1,115.83333333333334,{36},"{0, 36, 23, 24, 13}",131.16666666666669,2
5,144.6666666666667,"{0, 42, 13, 23, 24}",0,115.00000000000001,set(),"{0, 23, 24, 42, 13}",144.6666666666667,2
0,118.75,set(),1,119.58333333333334,{36},{36},119.58333333333334,3
1,130.5,{47},0,118.75,set(),{47},130.5,3
0,118.75,set(),2,120.83333333333333,"{36, 4}","{36, 4}",120.83333333333333,3
1,130.5,{47},1,119.58333333333334,{36},"{36, 47}",131.33333333333334,3
2,136.5,"{13, 47}",0,118.75,set(),"{13, 47}",136.5,3
0,118.75,set(),3,121.83333333333331,"{1, 36, 4}","{1, 36, 4}",121.83333333333331,3
1,130.5,{47},2,120.83333333333333,"{36, 4}","{36, 4, 47}",132.5,3
2,136.5,"{13, 47}",1,119.58333333333334,{36},"{36, 13, 47}",136.91666666666669,3
3,137.5,"{0, 13, 47}",0,118.75,set(),"{0, 13, 47}",137.5,3
0,118.75,set(),4,122.24999999999999,"{40, 1, 36, 4}","{40, 1, 36, 4}",122.24999999999999,3
1,130.5,{47},3,121.83333333333331,"{1, 36, 4}","{1, 36, 4, 47}",133.49999999999997,3
2,136.5,"{13, 47}",2,120.83333333333333,"{36, 4}","{4, 36, 13, 47}",138.0,3
3,137.5,"{0, 13, 47}",1,119.58333333333334,{36},"{0, 36, 13, 47}",137.91666666666669,3
4,140.25,"{0, 23, 13, 47}",0,118.75,set(),"{0, 23, 13, 47}",140.25,3
0,118.75,set(),5,122.49999999999999,"{1, 36, 4, 40, 11}","{1, 36, 4, 40, 11}",122.49999999999999,3
1,130.5,{47},4,122.24999999999999,"{40, 1, 36, 4}","{1, 36, 4, 40, 47}",133.91666666666666,3
2,136.5,"{13, 47}",3,121.83333333333331,"{1, 36, 4}","{1, 36, 4, 13, 47}",138.83333333333331,3
3,137.5,"{0, 13, 47}",2,120.83333333333333,"{36, 4}","{0, 36, 4, 13, 47}",139.0,3
4,140.25,"{0, 23, 13, 47}",1,119.58333333333334,{36},"{0, 36, 23, 13, 47}",140.66666666666669,3
5,141.0,"{0, 13, 47, 19, 23}",0,118.75,set(),"{0, 19, 23, 13, 47}",141.0,3
0,118.99999999999993,set(),1,119.99999999999996,{36},{36},119.99999999999996,4
1,138.99999999999994,{44},0,118.99999999999993,set(),{44},138.99999999999994,4
0,118.99999999999993,set(),2,120.94999999999995,"{36, 4}","{36, 4}",120.94999999999995,4
1,138.99999999999994,{44},1,119.99999999999996,{36},"{44, 36}",139.99999999999994,4
2,147.79999999999995,"{44, 12}",0,118.99999999999993,set(),"{44, 12}",147.79999999999995,4
0,118.99999999999993,set(),3,121.74999999999991,"{1, 36, 4}","{1, 36, 4}",121.74999999999991,4
1,138.99999999999994,{44},2,120.94999999999995,"{36, 4}","{44, 4, 36}",140.89999999999998,4
2,147.79999999999995,"{44, 12}",1,119.99999999999996,{36},"{44, 12, 36}",148.64999999999995,4
3,151.79999999999993,"{0, 44, 12}",0,118.99999999999993,set(),"{0, 44, 12}",151.79999999999993,4
0,118.99999999999993,set(),4,122.1999999999999,"{40, 1, 36, 4}","{40, 1, 36, 4}",122.1999999999999,4
1,138.99999999999994,{44},3,121.74999999999991,"{1, 36, 4}","{1, 44, 4, 36}",141.69999999999996,4
2,147.79999999999995,"{44, 12}",2,120.94999999999995,"{36, 4}","{4, 44, 12, 36}",149.54999999999995,4
3,151.79999999999993,"{0, 44, 12}",1,119.99999999999996,{36},"{0, 44, 12, 36}",152.64999999999995,4
4,152.59999999999994,"{0, 19, 44, 12}",0,118.99999999999993,set(),"{0, 19, 44, 12}",152.59999999999994,4
0,118.99999999999993,set(),5,122.4499999999999,"{1, 36, 4, 40, 11}","{1, 36, 4, 40, 11}",122.4499999999999,4
1,138.99999999999994,{44},4,122.1999999999999,"{40, 1, 36, 4}","{1, 36, 4, 40, 44}",142.14999999999995,4
2,147.79999999999995,"{44, 12}",3,121.74999999999991,"{1, 36, 4}","{1, 36, 4, 44, 12}",150.14999999999995,4
3,151.79999999999993,"{0, 44, 12}",2,120.94999999999995,"{36, 4}","{0, 36, 4, 44, 12}",153.54999999999995,4
4,152.59999999999994,"{0, 19, 44, 12}",1,119.99999999999996,{36},"{0, 19, 36, 44, 12}",153.44999999999996,4
