K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,dataset,graphid
1,89.19999999999996,{27},83.9999999999999,{12},89.19999999999996,{27},84.39999999999989,{42},112.0,"{1, 38, 41, 10, 9, 44, 13, 14, 16, 26, 27}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0619047619047628,0.796428571428571,0.7499999999999991,1.0568720379146928,0.796428571428571,0.7535714285714276,0.015915870666503906,0.00036215782165527344,5,112,48,productivity (11),4
2,95.59999999999997,"{10, 27}",88.39999999999995,"{2, 12}",95.59999999999997,"{10, 27}",87.99999999999987,"{9, 42}",112.0,"{1, 38, 41, 10, 9, 44, 13, 14, 16, 26, 27}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0814479638009051,0.8535714285714283,0.7892857142857138,1.0863636363636375,0.8535714285714283,0.7857142857142846,0.03655815124511719,0.000492095947265625,5,112,48,productivity (11),4
3,100.39999999999996,"{16, 10, 27}",88.74999999999994,"{2, 12, 29}",100.39999999999996,"{16, 10, 27}",91.59999999999992,"{9, 42, 2}",112.0,"{1, 38, 41, 10, 9, 44, 13, 14, 16, 26, 27}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1312676056338031,0.8964285714285711,0.7924107142857137,1.0960698689956336,0.8964285714285711,0.8178571428571422,0.050891876220703125,0.0006129741668701172,5,112,48,productivity (11),4
4,103.39999999999996,"{16, 1, 10, 27}",89.68333333333325,"{34, 44, 29, 7}",103.39999999999996,"{16, 1, 10, 27}",94.39999999999993,"{9, 42, 2, 49}",112.0,"{1, 38, 41, 10, 9, 44, 13, 14, 16, 26, 27}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.152945549154433,0.9232142857142854,0.8007440476190469,1.0953389830508478,0.9232142857142854,0.8428571428571423,0.06579089164733887,0.00037789344787597656,5,112,48,productivity (11),4
5,105.99999999999997,"{16, 1, 38, 10, 27}",91.63333333333328,"{2, 34, 7, 12, 29}",106.14999999999998,"{1, 10, 44, 16, 27}",94.39999999999993,"{2, 9, 42, 49, 19}",112.0,"{1, 38, 41, 10, 9, 44, 13, 14, 16, 26, 27}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1567842851946166,0.9464285714285712,0.8181547619047614,1.1244703389830515,0.9477678571428569,0.8428571428571423,0.08698606491088867,0.0008230209350585938,5,112,48,productivity (11),4
1,89.99999999999999,{27},84.00000000000001,{12},89.99999999999999,{27},86.83333333333333,{42},112.0,"{1, 9, 10, 42, 49, 26, 27, 31}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0714285714285712,0.8035714285714285,0.7500000000000001,1.036468330134357,0.8035714285714285,0.775297619047619,0.018928050994873047,0.0006821155548095703,6,112,48,productivity (11),5
2,97.0,"{10, 27}",89.33333333333333,"{2, 12}",97.0,"{10, 27}",90.33333333333331,"{9, 42}",112.0,"{1, 9, 10, 42, 49, 26, 27, 31}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.085820895522388,0.8660714285714286,0.7976190476190476,1.0738007380073804,0.8660714285714286,0.8065476190476188,0.04123091697692871,0.0003979206085205078,6,112,48,productivity (11),5
3,102.66666666666666,"{26, 10, 27}",89.66666666666667,"{25, 2, 12}",102.66666666666666,"{26, 10, 27}",93.99999999999999,"{9, 42, 2}",112.0,"{1, 9, 10, 42, 49, 26, 27, 31}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1449814126394051,0.9166666666666666,0.8005952380952381,1.0921985815602837,0.9166666666666666,0.8392857142857142,0.06330680847167969,0.0007572174072265625,6,112,48,productivity (11),5
4,106.33333333333333,"{26, 10, 27, 42}",90.83333333333333,"{25, 2, 12, 22}",106.33333333333333,"{26, 10, 27, 42}",96.99999999999999,"{9, 42, 2, 49}",112.0,"{1, 9, 10, 42, 49, 26, 27, 31}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1706422018348623,0.9494047619047619,0.8110119047619048,1.0962199312714778,0.9494047619047619,0.8660714285714285,0.08484411239624023,0.00041103363037109375,6,112,48,productivity (11),5
5,108.66666666666669,"{1, 26, 42, 10, 27}",91.94999999999996,"{2, 34, 7, 12, 29}",108.66666666666669,"{1, 10, 42, 26, 27}",97.16666666666666,"{2, 9, 42, 49, 19}",112.0,"{1, 9, 10, 42, 49, 26, 27, 31}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.181801703824543,0.9702380952380955,0.8209821428571425,1.1183533447684395,0.9702380952380955,0.8675595238095237,0.1065678596496582,0.0004031658172607422,6,112,48,productivity (11),5
1,92.42857142857143,{27},85.14285714285707,{12},92.42857142857143,{27},88.71428571428567,{42},112.0,"{1, 36, 10, 12, 26, 27, 31}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0855704697986588,0.8252551020408163,0.7602040816326524,1.0418679549114338,0.8252551020408163,0.7920918367346934,0.03854107856750488,0.00043582916259765625,7,112,48,productivity (11),6
2,99.42857142857142,"{10, 27}",90.7142857142857,"{2, 12}",99.42857142857142,"{10, 27}",92.71428571428567,"{9, 42}",112.0,"{1, 36, 10, 12, 26, 27, 31}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0960629921259843,0.8877551020408162,0.8099489795918365,1.0724191063174118,0.8877551020408162,0.8278061224489791,0.04812312126159668,0.0006148815155029297,7,112,48,productivity (11),6
3,104.71428571428571,"{26, 10, 27}",91.42857142857139,"{25, 2, 12}",104.71428571428571,"{26, 10, 27}",95.99999999999996,"{9, 42, 2}",112.0,"{1, 36, 10, 12, 26, 27, 31}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1453125000000004,0.9349489795918366,0.8163265306122446,1.09077380952381,0.9349489795918366,0.8571428571428568,0.07347917556762695,0.0008289813995361328,7,112,48,productivity (11),6
4,108.28571428571429,"{26, 10, 27, 36}",92.42857142857139,"{25, 2, 12, 22}",108.28571428571429,"{26, 10, 27, 36}",98.71428571428567,"{9, 42, 2, 49}",112.0,"{1, 36, 10, 12, 26, 27, 31}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1715610510046373,0.9668367346938777,0.825255102040816,1.0969609261939224,0.9668367346938777,0.8813775510204077,0.09940004348754883,0.0007150173187255859,7,112,48,productivity (11),6
5,110.57142857142857,"{1, 26, 36, 10, 27}",93.42857142857139,"{2, 21, 22, 25, 12}",110.57142857142857,"{1, 36, 10, 26, 27}",98.99999999999994,"{2, 9, 42, 49, 19}",112.0,"{1, 36, 10, 12, 26, 27, 31}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1834862385321105,0.9872448979591837,0.8341836734693874,1.1168831168831175,0.9872448979591837,0.883928571428571,0.11928319931030273,0.0004470348358154297,7,112,48,productivity (11),6
1,95.25,{27},87.625,{12},95.25,{27},90.0,{42},112.0,"{6, 9, 10, 20, 26, 27}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.087018544935806,0.8504464285714286,0.7823660714285714,1.0583333333333333,0.8504464285714286,0.8035714285714286,0.03943610191345215,0.0009479522705078125,8,112,48,productivity (11),7
2,102.125,"{10, 27}",93.125,"{2, 12}",102.125,"{10, 27}",94.625,"{9, 42}",112.0,"{6, 9, 10, 20, 26, 27}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0966442953020135,0.9118303571428571,0.8314732142857143,1.0792602377807134,0.9118303571428571,0.8448660714285714,0.056842803955078125,0.0009171962738037109,8,112,48,productivity (11),7
3,107.0,"{26, 10, 27}",93.75,"{25, 2, 12}",107.0,"{26, 10, 27}",97.625,"{9, 42, 2}",112.0,"{6, 9, 10, 20, 26, 27}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1413333333333333,0.9553571428571429,0.8370535714285714,1.0960307298335468,0.9553571428571429,0.8716517857142857,0.09437108039855957,0.0007927417755126953,8,112,48,productivity (11),7
4,109.25,"{26, 9, 10, 27}",95.125,"{25, 2, 12, 22}",109.25,"{26, 9, 10, 27}",100.375,"{9, 42, 2, 49}",112.0,"{6, 9, 10, 20, 26, 27}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1484888304862024,0.9754464285714286,0.8493303571428571,1.0884184308841842,0.9754464285714286,0.8962053571428571,0.10642194747924805,0.0004749298095703125,8,112,48,productivity (11),7
5,111.5,"{26, 20, 9, 10, 27}",96.75,"{2, 21, 22, 25, 12}",111.5,"{9, 10, 20, 26, 27}",101.125,"{2, 9, 42, 49, 19}",112.0,"{6, 9, 10, 20, 26, 27}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.152454780361757,0.9955357142857143,0.8638392857142857,1.1025957972805933,0.9955357142857143,0.9029017857142857,0.1431128978729248,0.0005929470062255859,8,112,48,productivity (11),7
1,96.3333333333333,{27},89.77777777777773,{12},96.3333333333333,{27},91.77777777777776,{42},112.0,"{9, 10, 20, 26, 27}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0730198019801982,0.8601190476190473,0.8015873015873012,1.049636803874092,0.8601190476190473,0.8194444444444443,0.028624296188354492,0.0004818439483642578,9,112,48,productivity (11),8
