K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,dataset,graphid
3,143.6982683982684,"{24, 42, 44}",126.20379293908705,"{0, 13, 47}",143.6982683982684,"{24, 42, 44}",129.57968975468978,"{1, 42, 7}",154.0,"{6, 41, 42, 44, 13, 14, 47, 24, 26, 27, 28}",154,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1386208373913544,0.9331056389497948,0.8195051489551107,1.1089567251650843,0.9331056389497948,0.841426556848635,0.18596577644348145,0.0015690326690673828,6.5,224,48,studentportuguese (30),5
4,147.29826839826836,"{24, 42, 44, 47}",128.44015657545066,"{0, 23, 13, 47}",147.29826839826836,"{24, 42, 44, 47}",130.47839105339108,"{1, 42, 49, 7}",154.0,"{6, 41, 42, 44, 13, 14, 47, 24, 26, 27, 28}",154,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.146824111131784,0.956482262326418,0.8340269907496796,1.1289092945512693,0.956482262326418,0.8472622795674746,0.2594797611236572,0.0015039443969726562,6.5,224,48,studentportuguese (30),5
5,149.96969696969697,"{24, 42, 44, 28, 47}",129.90618686868686,"{0, 37, 23, 13, 47}",149.96969696969697,"{42, 44, 47, 24, 28}",133.69126984126984,"{1, 7, 42, 49, 18}",154.0,"{6, 41, 42, 44, 13, 14, 47, 24, 26, 27, 28}",154,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.154446147520987,0.9738292011019284,0.8435466679784861,1.1217613322676516,0.9738292011019284,0.8681251288394146,0.30137133598327637,0.0008037090301513672,6.5,224,48,studentportuguese (30),5
1,160.4953452249505,{42},149.58210049548723,{47},160.4953452249505,{42},151.65785595982962,{41},182.0,"{39, 41, 42, 43, 44, 12, 9, 47, 14, 13, 28, 29}",182,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0729582262403952,0.8818425561810468,0.8218796730521276,1.0582725451918675,0.8818425561810468,0.8332849228562067,0.08612871170043945,0.0022361278533935547,7.0,224,49,studentportuguese (30),6
2,171.29047619047617,"{42, 44}",152.37947534286207,"{13, 47}",171.29047619047617,"{42, 44}",152.31232371429738,"{41, 7}",182.0,"{39, 41, 42, 43, 44, 12, 9, 47, 14, 13, 28, 29}",182,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.124104646016554,0.9411564625850339,0.8372498645212202,1.1246002425370216,0.9411564625850339,0.8368808995291065,0.18022608757019043,0.0021829605102539062,7.0,224,49,studentportuguese (30),6
3,174.3047619047619,"{42, 44, 28}",156.063740353214,"{0, 13, 47}",174.3047619047619,"{42, 44, 28}",152.58505098702463,"{41, 1, 7}",182.0,"{39, 41, 42, 43, 44, 12, 9, 47, 14, 13, 28, 29}",182,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1168818683331796,0.9577184720041862,0.8574930788638132,1.1423449464887898,0.9577184720041862,0.8383794010276079,0.27434802055358887,0.0011467933654785156,7.0,224,49,studentportuguese (30),6
4,176.07142857142856,"{42, 44, 28, 47}",159.49842744974322,"{0, 23, 13, 47}",176.07142857142856,"{42, 44, 28, 47}",153.7877414252414,"{48, 41, 1, 7}",182.0,"{39, 41, 42, 43, 44, 12, 9, 47, 14, 13, 28, 29}",182,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.103906987590253,0.9674254317111459,0.8763649859876002,1.1448989818022628,0.9674254317111459,0.8449875902485791,0.4040820598602295,0.0035250186920166016,7.0,224,49,studentportuguese (30),6
5,177.57142857142856,"{41, 42, 44, 28, 47}",160.77009145824934,"{0, 19, 23, 13, 47}",177.57142857142856,"{41, 42, 44, 47, 28}",157.43588078588076,"{1, 7, 41, 48, 18}",182.0,"{39, 41, 42, 43, 44, 12, 9, 47, 14, 13, 28, 29}",182,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1045053651508459,0.9756671899529041,0.8833521508695019,1.1278968154212126,0.9756671899529041,0.8650323120103338,0.4255349636077881,0.0022699832916259766,7.0,224,49,studentportuguese (30),6
1,185.71396970687593,{42},175.11200550657068,{44},185.71396970687593,{42},108.78556230658948,{40},201.0,"{6, 39, 42, 44, 47, 16, 24, 28}",201,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0605439025704462,0.9239500980441588,0.8712040074953765,1.7071564072397745,0.9239500980441588,0.5412217030178581,0.11037611961364746,0.0015141963958740234,7.5,224,50,studentportuguese (30),7
2,193.3166666666667,"{42, 44}",184.94265873015874,"{44, 12}",193.3166666666667,"{42, 44}",111.52380026646601,"{40, 7}",201.0,"{6, 39, 42, 44, 47, 16, 24, 28}",201,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0452789421002435,0.9617744610281925,0.9201127300007897,1.7334117578917807,0.9617744610281925,0.5548447774451045,0.290543794631958,0.0028650760650634766,7.5,224,50,studentportuguese (30),7
