K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,kmax,n,m,dataset,graphid
2,"{2, 38}",172.00000000000003,"{1, 7}",136.4285714285715,"{2, 38}",172.00000000000003,"{0, 6}",155.00000000000003,172.00000000000003,"{2, 38}",1.0,0.7931893687707644,1.0,0.9011627906976745,0.6077711582183838,7,206,39,studentmath (30),6
3,"{0, 2, 38}",182.85714285714283,"{1, 18, 7}",141.14285714285725,"{0, 2, 38}",182.85714285714283,"{0, 27, 6}",159.7142857142857,184.28571428571436,"{2, 28, 6}",0.9922480620155033,0.7658914728682173,0.9922480620155033,0.8666666666666661,8.833378791809082,7,206,39,studentmath (30),6
4,"{0, 2, 28, 38}",191.42857142857144,"{1, 18, 15, 7}",141.76190476190484,"{0, 2, 28, 38}",191.42857142857144,"{0, 27, 6, 7}",176.1428571428571,193.42857142857147,"{0, 2, 28, 6}",0.9896602658788772,0.7328902018709997,0.9896602658788772,0.9106351550960115,78.15608286857605,7,206,39,studentmath (30),6
5,"{0, 2, 38, 6, 28}",197.71428571428572,"{1, 7, 14, 15, 18}",142.1619047619048,"{0, 2, 38, 6, 28}",197.71428571428572,"{0, 7, 6, 39, 27}",180.28571428571428,198.14285714285717,"{0, 2, 6, 9, 28}",0.9978370583994232,0.7174717615957703,0.9978370583994232,0.9098774333093005,545.7810969352722,7,206,39,studentmath (30),6
1,{2},151.25,{7},132.875,{2},151.25,{6},142.5,151.25,{2},1.0,0.8785123966942149,1.0,0.9421487603305785,0.032887935638427734,8,206,39,studentmath (30),7
2,"{2, 38}",178.5,"{1, 7}",140.125,"{2, 38}",178.5,"{0, 6}",160.75,178.5,"{2, 38}",1.0,0.7850140056022409,1.0,0.9005602240896359,0.6202008724212646,8,206,39,studentmath (30),7
3,"{0, 2, 38}",188.25,"{1, 18, 7}",145.625,"{0, 2, 38}",188.25,"{0, 27, 6}",165.375,190.375,"{2, 28, 6}",0.9888378200919238,0.7649376231122784,0.9888378200919238,0.8686802363755746,8.797418117523193,8,206,39,studentmath (30),7
4,"{0, 2, 28, 38}",195.875,"{1, 18, 15, 7}",146.125,"{0, 2, 28, 38}",195.875,"{0, 27, 6, 7}",179.625,197.375,"{0, 2, 28, 6}",0.9924002533248891,0.74034198860038,0.9924002533248891,0.9100696643445219,81.53046202659607,8,206,39,studentmath (30),7
5,"{0, 2, 38, 6, 28}",200.75,"{1, 7, 14, 15, 18}",146.51785714285714,"{0, 2, 38, 6, 28}",200.75,"{0, 7, 6, 39, 27}",182.875,200.75,"{0, 2, 6, 21, 28}",1.0,0.7298523394413805,1.0,0.910958904109589,572.4244289398193,8,206,39,studentmath (30),7
1,{38},157.88888888888889,{7},137.33333333333331,{38},157.88888888888889,{6},148.8888888888889,157.88888888888889,{38},1.0,0.8698099929627022,1.0,0.9429978888106969,0.0354161262512207,9,206,39,studentmath (30),8
2,"{2, 38}",185.11111111111117,"{1, 7}",145.2222222222222,"{2, 38}",185.11111111111117,"{0, 6}",167.11111111111123,185.11111111111114,"{2, 38}",1.0000000000000002,0.7845138055222086,1.0000000000000002,0.9027611044417772,0.6678030490875244,9,206,39,studentmath (30),8
3,"{0, 2, 38}",194.22222222222223,"{1, 18, 7}",151.1111111111111,"{0, 2, 38}",194.22222222222223,"{0, 27, 6}",172.1111111111112,194.22222222222226,"{0, 2, 38}",0.9999999999999999,0.778032036613272,0.9999999999999999,0.8861556064073229,9.60446286201477,9,206,39,studentmath (30),8
4,"{0, 2, 28, 38}",199.22222222222223,"{1, 18, 15, 7}",151.49999999999997,"{0, 2, 28, 38}",199.22222222222223,"{0, 27, 6, 7}",185.6666666666667,200.0,"{0, 2, 28, 6}",0.9961111111111112,0.7574999999999998,0.9961111111111112,0.9283333333333336,87.35679578781128,9,206,39,studentmath (30),8
5,"{0, 2, 38, 24, 28}",203.11111111111111,"{1, 7, 14, 15, 18}",151.94444444444443,"{0, 2, 38, 24, 28}",203.11111111111111,"{0, 7, 6, 39, 27}",187.77777777777783,204.00000000000003,"{0, 2, 6, 21, 28}",0.9956427015250543,0.744825708061002,0.9956427015250543,0.9204793028322441,630.0643792152405,9,206,39,studentmath (30),8
1,{38},162.40000000000003,{7},139.7,{38},162.40000000000003,{6},153.0,162.40000000000003,{38},1.0,0.8602216748768471,1.0,0.942118226600985,0.04485678672790527,10,206,39,studentmath (30),9
2,"{2, 38}",189.8,"{1, 7}",147.59999999999997,"{2, 38}",189.8,"{0, 6}",170.80000000000004,189.8,"{2, 38}",1.0,0.7776606954689145,1.0,0.8998946259220233,0.8575689792633057,10,206,39,studentmath (30),9
3,"{0, 2, 38}",198.2,"{1, 18, 7}",153.60000000000002,"{0, 2, 38}",198.2,"{0, 27, 6}",177.10000000000005,198.2,"{0, 2, 38}",1.0,0.7749747729566097,1.0,0.8935418768920286,10.051679849624634,10,206,39,studentmath (30),9
4,"{0, 2, 28, 38}",202.2,"{1, 18, 15, 7}",153.94444444444443,"{0, 2, 28, 38}",202.2,"{0, 27, 6, 7}",189.5,202.2,"{0, 2, 28, 38}",1.0,0.7613474008132761,1.0,0.937190900098912,94.94541072845459,10,206,39,studentmath (30),9
5,"{0, 2, 38, 24, 28}",204.9,"{1, 7, 14, 15, 18}",154.4222222222222,"{0, 2, 38, 24, 28}",204.9,"{0, 7, 6, 39, 27}",192.5,204.9,"{0, 2, 38, 24, 28}",1.0,0.7536467653597959,1.0,0.9394826744753538,675.3027920722961,10,206,39,studentmath (30),9
