K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,kmax,n,m,dataset,graphid
3,"{42, 44, 47}",149.66666666666669,"{1, 42, 7}",133.5,"{42, 44, 47}",149.66666666666669,"{0, 24, 13}",130.00000000000003,149.66666666666669,"{42, 44, 47}",1.0,0.8919821826280623,1.0,0.868596881959911,10.171929121017456,3,224,48,studentportuguese (30),2
4,"{42, 44, 28, 47}",156.33333333333334,"{1, 42, 49, 7}",135.83333333333331,"{42, 44, 28, 47}",156.33333333333334,"{0, 24, 13, 23}",130.6666666666667,156.33333333333334,"{42, 28, 44, 47}",1.0,0.868869936034115,1.0,0.8358208955223884,119.00500392913818,3,224,48,studentportuguese (30),2
5,"{42, 44, 47, 24, 28}",161.00000000000003,"{1, 7, 42, 49, 18}",139.66666666666666,"{24, 42, 44, 28, 47}",161.00000000000003,"{0, 23, 24, 42, 13}",144.6666666666667,161.00000000000003,"{42, 44, 47, 24, 28}",1.0,0.867494824016563,1.0,0.8985507246376813,1152.3704209327698,3,224,48,studentportuguese (30),2
1,{42},138.5,{41},132.25,{42},138.5,{47},130.5,138.5,{42},1.0,0.9548736462093863,1.0,0.9422382671480144,0.03050994873046875,4,224,49,studentportuguese (30),3
2,"{42, 44}",153.0,"{41, 7}",133.25,"{42, 44}",153.0,"{13, 47}",136.5,153.0,"{42, 44}",1.0,0.8709150326797386,1.0,0.8921568627450981,0.821800947189331,4,224,49,studentportuguese (30),3
3,"{42, 44, 28}",162.75,"{41, 1, 7}",134.0833333333333,"{42, 44, 28}",162.75,"{0, 13, 47}",137.5,162.75,"{42, 28, 44}",1.0,0.8238607270865332,1.0,0.8448540706605223,13.05676007270813,4,224,49,studentportuguese (30),3
4,"{42, 44, 28, 47}",171.0,"{48, 41, 1, 7}",136.3333333333333,"{42, 44, 28, 47}",171.0,"{0, 23, 13, 47}",140.25,171.0,"{42, 28, 44, 47}",1.0,0.7972709551656917,1.0,0.8201754385964912,153.59359407424927,4,224,49,studentportuguese (30),3
5,"{42, 12, 44, 47, 28}",176.75,"{1, 7, 41, 48, 18}",140.08333333333331,"{42, 12, 28, 44, 47}",176.75,"{0, 19, 23, 13, 47}",141.0,176.75,"{42, 12, 44, 47, 28}",1.0,0.7925506836397924,1.0,0.7977369165487977,1406.725775718689,4,224,49,studentportuguese (30),3
1,{42},149.39999999999992,{40},119.44999999999992,{42},149.39999999999992,{44},138.99999999999994,149.39999999999992,{42},1.0,0.7995314591700132,1.0,0.9303882195448462,0.03850722312927246,5,224,50,studentportuguese (30),4
2,"{42, 44}",168.39999999999995,"{40, 7}",122.19999999999992,"{42, 44}",168.39999999999995,"{44, 12}",147.79999999999995,168.39999999999995,"{42, 44}",1.0,0.7256532066508311,1.0,0.8776722090261283,1.0104529857635498,5,224,50,studentportuguese (30),4
