K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,r,n,m,dataset,graphid
5,{1},108.0,"{1, 7, 40, 47, 17}",108.0,{1},108.0,"{1, 34, 7, 9, 29}",108.0,108.0,{1},1.0,1.0,1.0,1.0,4290.017329931259,9.0,112,50,productivity (11),10
1,{1},109.66666666666669,{40},109.26666666666668,{1},109.66666666666669,{9},109.26666666666668,109.66666666666667,{1},1.0000000000000002,0.9963525835866263,1.0000000000000002,0.9963525835866263,0.08608794212341309,9.5,112,50,productivity (11),11
2,"{16, 1}",110.0,"{40, 7}",109.26666666666668,"{1, 29}",110.0,"{9, 29}",109.75,110.0,"{16, 1}",1.0,0.9933333333333334,1.0,0.9977272727272727,2.096251964569092,9.5,112,50,productivity (11),11
3,"{16, 1}",110.0,"{40, 1, 7}",109.66666666666669,"{16, 1}",110.0,"{9, 29, 1}",110.0,110.0,"{16, 1}",1.0,0.9969696969696972,1.0,1.0,35.275124073028564,9.5,112,50,productivity (11),11
4,"{16, 1}",110.0,"{40, 1, 47, 7}",109.66666666666669,"{16, 1}",110.0,"{9, 34, 29, 7}",110.0,110.0,"{16, 1}",1.0,0.9969696969696972,1.0,1.0,439.48732113838196,9.5,112,50,productivity (11),11
5,"{16, 1}",110.0,"{1, 7, 40, 47, 17}",109.66666666666669,"{16, 1}",110.0,"{34, 7, 9, 44, 29}",110.0,110.0,"{16, 1}",1.0,0.9969696969696972,1.0,1.0,4421.240431070328,9.5,112,50,productivity (11),11
1,{1},110.0,{40},110.0,{1},110.0,{9},110.0,110.0,{1},1.0,1.0,1.0,1.0,0.08545899391174316,10.0,112,50,productivity (11),12
2,{1},110.0,"{40, 7}",110.0,{1},110.0,"{9, 29}",110.0,110.0,{1},1.0,1.0,1.0,1.0,2.2319040298461914,10.0,112,50,productivity (11),12
3,{1},110.0,"{40, 1, 7}",110.0,{1},110.0,"{9, 29, 7}",110.0,110.0,{1},1.0,1.0,1.0,1.0,35.590296030044556,10.0,112,50,productivity (11),12
4,{1},110.0,"{40, 1, 47, 7}",110.0,{1},110.0,"{9, 34, 29, 7}",110.0,110.0,{1},1.0,1.0,1.0,1.0,437.4530601501465,10.0,112,50,productivity (11),12
5,{1},110.0,"{1, 7, 40, 47, 17}",110.0,{1},110.0,"{34, 7, 9, 44, 29}",110.0,110.0,{1},1.0,1.0,1.0,1.0,4209.287290096283,10.0,112,50,productivity (11),12
