K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,dataset,graphid
1,107.0,{26},106.29125138427464,{9},107.0,{26},106.5,{40},107.0,{26},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0066679863723027,1.0,0.9933761811614453,1.0046948356807512,1.0,0.9953271028037384,0.11837887763977051,0.002412080764770508,6.0,112,50,productivity (11),4
2,107.0,{26},107.0,"{9, 1}",107.0,{26},106.5,"{40, 7}",107.0,{26},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0046948356807512,1.0,0.9953271028037384,0.5199928283691406,0.002810239791870117,6.0,112,50,productivity (11),4
3,107.0,{26},107.0,"{9, 29, 1}",107.0,{26},106.5,"{40, 1, 7}",107.0,{26},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0046948356807512,1.0,0.9953271028037384,0.2978029251098633,0.003100156784057617,6.0,112,50,productivity (11),4
4,107.0,{26},107.0,"{9, 29, 1, 7}",107.0,{26},106.5,"{40, 1, 47, 7}",107.0,{26},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0046948356807512,1.0,0.9953271028037384,0.371157169342041,0.0036058425903320312,6.0,112,50,productivity (11),4
5,107.0,{26},107.0,"{1, 34, 7, 9, 29}",107.0,{26},106.5,"{1, 7, 40, 47, 17}",107.0,{26},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0046948356807512,1.0,0.9953271028037384,0.5893630981445312,0.011698007583618164,6.0,112,50,productivity (11),4
1,107.0,{1},107.0,{9},107.0,{1},106.73684210526315,{40},107.0,{1},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0024654832347142,1.0,0.9975405804230201,0.19180870056152344,0.0034172534942626953,6.5,112,50,productivity (11),5
2,107.0,{1},107.0,"{9, 29}",107.0,{1},106.73684210526315,"{40, 7}",107.0,{1},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0024654832347142,1.0,0.9975405804230201,0.38398098945617676,0.0038480758666992188,6.5,112,50,productivity (11),5
3,107.0,{1},107.0,"{9, 29, 7}",107.0,{1},107.0,"{40, 1, 7}",107.0,{1},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.3578498363494873,0.003323793411254883,6.5,112,50,productivity (11),5
4,107.0,{1},107.0,"{9, 34, 29, 7}",107.0,{1},107.0,"{40, 1, 47, 7}",107.0,{1},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.3135569095611572,0.0022110939025878906,6.5,112,50,productivity (11),5
5,107.0,{1},107.0,"{34, 7, 9, 44, 29}",107.0,{1},107.0,"{1, 7, 40, 47, 17}",107.0,{1},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.2895500659942627,0.0029439926147460938,6.5,112,50,productivity (11),5
1,107.0,{1},107.0,{9},107.0,{1},107.0,{40},107.0,{1},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.14377999305725098,0.002543210983276367,7.0,112,50,productivity (11),6
2,107.0,{1},107.0,"{9, 29}",107.0,{1},107.0,"{40, 7}",107.0,{1},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.298936128616333,0.0037848949432373047,7.0,112,50,productivity (11),6
3,107.0,{1},107.0,"{9, 29, 7}",107.0,{1},107.0,"{40, 1, 7}",107.0,{1},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.2940402030944824,0.0034580230712890625,7.0,112,50,productivity (11),6
4,107.0,{1},107.0,"{9, 34, 29, 7}",107.0,{1},107.0,"{40, 1, 47, 7}",107.0,{1},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.3184933662414551,0.0035409927368164062,7.0,112,50,productivity (11),6
5,107.0,{1},107.0,"{34, 7, 9, 44, 29}",107.0,{1},107.0,"{1, 7, 40, 47, 17}",107.0,{1},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.31984400749206543,0.0033507347106933594,7.0,112,50,productivity (11),6
1,107.0,{0},107.0,{9},107.0,{0},107.0,{40},107.0,{0},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.15444684028625488,0.003322124481201172,7.5,112,50,productivity (11),7
2,107.0,{0},107.0,"{9, 29}",107.0,{0},107.0,"{40, 7}",107.0,{0},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.30100202560424805,0.0024309158325195312,7.5,112,50,productivity (11),7
3,107.0,{0},107.0,"{9, 29, 7}",107.0,{0},107.0,"{40, 1, 7}",107.0,{0},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.2860381603240967,0.00345611572265625,7.5,112,50,productivity (11),7
4,107.0,{0},107.0,"{9, 34, 29, 7}",107.0,{0},107.0,"{40, 1, 47, 7}",107.0,{0},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.2935192584991455,0.0027000904083251953,7.5,112,50,productivity (11),7
5,107.0,{0},107.0,"{34, 7, 9, 44, 29}",107.0,{0},107.0,"{1, 7, 40, 47, 17}",107.0,{0},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.3140909671783447,0.0033249855041503906,7.5,112,50,productivity (11),7
1,107.0,{0},107.0,{9},107.0,{0},107.0,{40},107.0,{0},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.14525198936462402,0.0032639503479003906,8.0,112,50,productivity (11),8
2,107.0,{0},107.0,"{9, 29}",107.0,{0},107.0,"{40, 7}",107.0,{0},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.28965306282043457,0.003362894058227539,8.0,112,50,productivity (11),8
