K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,dataset,graphid
4,72.45151515151514,"{17, 10, 3, 38}",62.45737595737594,"{8, 10, 3, 29}",72.16666666666666,"{17, 2, 38, 39}",63.29794372294372,"{1, 23, 17, 7}",75.0,"{1, 2, 38, 7, 39, 10, 17, 28}",75,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 23, 24, 25, 26, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39}",1.1600153551273065,0.9660202020202019,0.8327650127650125,1.1401107590878703,0.9622222222222221,0.8439725829725829,0.09837913513183594,0.0007979869842529297,5.5,206,32,studentmath (30),3
5,72.99999999999999,"{2, 39, 38, 7, 28}",63.874042624042595,"{3, 37, 8, 10, 29}",73.16666666666667,"{2, 38, 7, 39, 17}",63.29794372294372,"{1, 7, 14, 17, 23}",75.0,"{1, 2, 38, 7, 39, 10, 17, 28}",75,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 23, 24, 25, 26, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39}",1.1428742725690941,0.9733333333333332,0.8516539016539013,1.1559090605994806,0.9755555555555556,0.8439725829725829,0.1031491756439209,0.0007929801940917969,5.5,206,32,studentmath (30),3
1,98.16825396825398,{38},92.11300366300367,{6},98.16825396825398,{38},89.50992063492063,{7},118.0,"{0, 2, 38, 39, 6, 25, 28, 31}",118,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0657371930612913,0.8319343556631693,0.7806186751102006,1.0967304324695766,0.8319343556631693,0.75855864944848,0.03787398338317871,0.0005288124084472656,6.0,206,38,studentmath (30),4
2,106.6702380952381,"{2, 38}",97.79761904761904,"{0, 6}",106.6702380952381,"{2, 38}",89.90992063492064,"{1, 7}",118.0,"{0, 2, 38, 39, 6, 25, 28, 31}",118,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0907242848447962,0.9039850686037127,0.8287933817594834,1.1864123262701205,0.9039850686037127,0.7619484799569546,0.07065987586975098,0.001032114028930664,6.0,206,38,studentmath (30),4
3,109.76190476190477,"{2, 38, 6}",98.89761904761903,"{0, 27, 6}",109.76190476190477,"{2, 38, 6}",90.74325396825397,"{1, 18, 7}",118.0,"{0, 2, 38, 39, 6, 25, 28, 31}",118,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1098538652285916,0.9301856335754641,0.8381154156577884,1.2095874895593273,0.9301856335754641,0.7690106268496099,0.1162269115447998,0.0005419254302978516,6.0,206,38,studentmath (30),4
4,112.5,"{25, 2, 38, 6}",104.1452380952381,"{0, 27, 6, 7}",112.5,"{25, 2, 38, 6}",90.74325396825397,"{1, 18, 15, 7}",118.0,"{0, 2, 38, 39, 6, 25, 28, 31}",118,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0802222171418119,0.9533898305084746,0.8825867635189669,1.2397615809474665,0.9533898305084746,0.7690106268496099,0.12726283073425293,0.0010650157928466797,6.0,206,38,studentmath (30),4
5,115.16666666666666,"{2, 38, 39, 6, 25}",106.06190476190476,"{0, 7, 6, 39, 27}",115.16666666666666,"{2, 38, 39, 6, 25}",90.95992063492064,"{1, 7, 14, 15, 18}",118.0,"{0, 2, 38, 39, 6, 25, 28, 31}",118,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.085843846810039,0.9759887005649717,0.8988297013720742,1.266125408452179,0.9759887005649717,0.7708467850417003,0.28093886375427246,0.0012240409851074219,6.0,206,38,studentmath (30),4
1,125.04367299367298,{38},119.31347402597405,{6},125.04367299367298,{38},112.6169178044178,{7},151.0,"{0, 1, 2, 34, 38, 6, 21, 27, 28}",151,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0480264196016245,0.828103794660086,0.7901554571256559,1.110345367565793,0.828103794660086,0.7458074026782635,0.060649871826171875,0.0013833045959472656,6.5,206,39,studentmath (30),5
2,135.79871794871795,"{2, 38}",126.6974386724387,"{0, 6}",135.79871794871795,"{2, 38}",113.88358447108446,"{1, 7}",151.0,"{0, 1, 2, 34, 38, 6, 21, 27, 28}",151,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0718347535012887,0.8993292579385295,0.8390558852479384,1.1924345249529604,0.8993292579385295,0.754195923649566,0.10156512260437012,0.0014400482177734375,6.5,206,39,studentmath (30),5
3,141.09999999999997,"{0, 2, 38}",128.59743867243873,"{0, 27, 6}",141.09999999999997,"{0, 2, 38}",116.4216797091797,"{1, 18, 7}",151.0,"{0, 1, 2, 34, 38, 6, 21, 27, 28}",151,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0972224754756397,0.934437086092715,0.8516386667048922,1.211973580457407,0.934437086092715,0.771004501385296,0.15769600868225098,0.0009019374847412109,6.5,206,39,studentmath (30),5
