[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,85.33333333333336,set(),2,86.83333333333336,"{29, 7}","{29, 7}",86.83333333333336,2
1,86.33333333333337,{12},1,85.83333333333337,{29},"{12, 29}",86.83333333333337,2
2,87.6666666666667,"{2, 12}",0,85.33333333333336,set(),"{2, 12}",87.6666666666667,2
0,85.33333333333336,set(),3,91.33333333333336,"{34, 29, 7}","{34, 29, 7}",91.33333333333336,2
1,86.33333333333337,{12},2,86.83333333333336,"{29, 7}","{12, 29, 7}",87.83333333333337,2
2,87.6666666666667,"{2, 12}",1,85.83333333333337,{29},"{2, 12, 29}",88.1666666666667,2
3,89.00000000000001,"{2, 27, 12}",0,85.33333333333336,set(),"{2, 27, 12}",89.00000000000001,2
0,85.33333333333336,set(),4,93.00000000000003,"{34, 44, 29, 7}","{34, 44, 29, 7}",93.00000000000003,2
1,86.33333333333337,{12},3,91.33333333333336,"{34, 29, 7}","{34, 12, 29, 7}",92.33333333333336,2
2,87.6666666666667,"{2, 12}",2,86.83333333333336,"{29, 7}","{2, 12, 29, 7}",88.1666666666667,2
3,89.00000000000001,"{2, 27, 12}",1,85.83333333333337,{29},"{2, 27, 12, 29}",89.50000000000001,2
4,90.66666666666669,"{24, 2, 27, 12}",0,85.33333333333336,set(),"{24, 2, 27, 12}",90.66666666666669,2
0,85.33333333333336,set(),5,94.50000000000003,"{34, 7, 44, 28, 29}","{34, 29, 7, 44, 28}",94.50000000000003,2
1,86.33333333333337,{12},4,93.00000000000003,"{34, 44, 29, 7}","{34, 7, 12, 29, 44}",93.00000000000003,2
2,87.6666666666667,"{2, 12}",3,91.33333333333336,"{34, 29, 7}","{2, 34, 7, 12, 29}",92.66666666666669,2
3,89.00000000000001,"{2, 27, 12}",2,86.83333333333336,"{29, 7}","{2, 7, 27, 12, 29}",89.50000000000001,2
4,90.66666666666669,"{24, 2, 27, 12}",1,85.83333333333337,{29},"{2, 24, 27, 12, 29}",91.16666666666669,2
5,91.33333333333337,"{2, 12, 22, 24, 27}",0,85.33333333333336,set(),"{2, 22, 24, 27, 12}",91.33333333333337,2
0,82.5,set(),1,82.83333333333333,{29},{29},82.83333333333333,3
1,84.25,{12},0,82.5,set(),{12},84.25,3
0,82.5,set(),2,83.58333333333333,"{29, 7}","{29, 7}",83.58333333333333,3
1,84.25,{12},1,82.83333333333333,{29},"{12, 29}",84.58333333333333,3
2,86.75,"{2, 12}",0,82.5,set(),"{2, 12}",86.75,3
0,82.5,set(),3,87.16666666666669,"{34, 29, 7}","{34, 29, 7}",87.16666666666669,3
1,84.25,{12},2,83.58333333333333,"{29, 7}","{12, 29, 7}",85.33333333333333,3
2,86.75,"{2, 12}",1,82.83333333333333,{29},"{2, 12, 29}",87.08333333333333,3
3,92.5,"{2, 26, 12}",0,82.5,set(),"{2, 26, 12}",92.5,3
0,82.5,set(),4,90.66666666666667,"{34, 44, 29, 7}","{34, 44, 29, 7}",90.66666666666667,3
1,84.25,{12},3,87.16666666666669,"{34, 29, 7}","{34, 12, 29, 7}",88.91666666666669,3
2,86.75,"{2, 12}",2,83.58333333333333,"{29, 7}","{2, 12, 29, 7}",87.08333333333333,3
3,92.5,"{2, 26, 12}",1,82.83333333333333,{29},"{2, 26, 12, 29}",92.66666666666666,3
4,95.5,"{24, 2, 26, 12}",0,82.5,set(),"{24, 2, 26, 12}",95.5,3
0,82.5,set(),5,92.08333333333336,"{34, 7, 44, 28, 29}","{34, 29, 7, 44, 28}",92.08333333333336,3
1,84.25,{12},4,90.66666666666667,"{34, 44, 29, 7}","{34, 7, 12, 29, 44}",91.16666666666667,3
2,86.75,"{2, 12}",3,87.16666666666669,"{34, 29, 7}","{2, 34, 7, 12, 29}",90.66666666666669,3
3,92.5,"{2, 26, 12}",2,83.58333333333333,"{29, 7}","{2, 7, 26, 12, 29}",92.66666666666666,3
4,95.5,"{24, 2, 26, 12}",1,82.83333333333333,{29},"{2, 24, 26, 12, 29}",95.66666666666666,3
5,96.25,"{2, 12, 22, 24, 26}",0,82.5,set(),"{2, 22, 24, 26, 12}",96.25,3
0,82.1999999999999,set(),1,82.5499999999999,{29},{29},82.5499999999999,4
1,83.9999999999999,{12},0,82.1999999999999,set(),{12},83.9999999999999,4
0,82.1999999999999,set(),2,83.09999999999991,"{29, 7}","{29, 7}",83.09999999999991,4
1,83.9999999999999,{12},1,82.5499999999999,{29},"{12, 29}",84.34999999999991,4
2,88.39999999999995,"{2, 12}",0,82.1999999999999,set(),"{2, 12}",88.39999999999995,4
0,82.1999999999999,set(),3,85.98333333333323,"{34, 29, 7}","{34, 29, 7}",85.98333333333323,4
1,83.9999999999999,{12},2,83.09999999999991,"{29, 7}","{12, 29, 7}",84.8999999999999,4
2,88.39999999999995,"{2, 12}",1,82.5499999999999,{29},"{2, 12, 29}",88.74999999999994,4
3,88.59999999999995,"{25, 2, 12}",0,82.1999999999999,set(),"{25, 2, 12}",88.59999999999995,4
0,82.1999999999999,set(),4,89.68333333333325,"{34, 44, 29, 7}","{34, 44, 29, 7}",89.68333333333325,4
1,83.9999999999999,{12},3,85.98333333333323,"{34, 29, 7}","{34, 12, 29, 7}",87.78333333333325,4
2,88.39999999999995,"{2, 12}",2,83.09999999999991,"{29, 7}","{2, 12, 29, 7}",88.74999999999994,4
3,88.59999999999995,"{25, 2, 12}",1,82.5499999999999,{29},"{25, 2, 12, 29}",88.94999999999995,4
4,89.19999999999995,"{25, 2, 12, 22}",0,82.1999999999999,set(),"{25, 2, 12, 22}",89.19999999999995,4
0,82.1999999999999,set(),5,91.21666666666658,"{34, 7, 44, 28, 29}","{34, 29, 7, 44, 28}",91.21666666666658,4
1,83.9999999999999,{12},4,89.68333333333325,"{34, 44, 29, 7}","{34, 7, 12, 29, 44}",90.13333333333325,4
2,88.39999999999995,"{2, 12}",3,85.98333333333323,"{34, 29, 7}","{2, 34, 7, 12, 29}",91.63333333333328,4
3,88.59999999999995,"{25, 2, 12}",2,83.09999999999991,"{29, 7}","{2, 7, 25, 12, 29}",88.94999999999995,4
4,89.19999999999995,"{25, 2, 12, 22}",1,82.5499999999999,{29},"{2, 22, 25, 12, 29}",89.54999999999995,4
5,89.39999999999995,"{2, 12, 21, 22, 25}",0,82.1999999999999,set(),"{2, 21, 22, 25, 12}",89.39999999999995,4
0,82.16666666666669,set(),1,82.46666666666668,{29},{29},82.46666666666668,5
1,84.00000000000001,{12},0,82.16666666666669,set(),{12},84.00000000000001,5
0,82.16666666666669,set(),2,82.86666666666669,"{29, 7}","{29, 7}",82.86666666666669,5
1,84.00000000000001,{12},1,82.46666666666668,{29},"{12, 29}",84.30000000000001,5
2,89.33333333333333,"{2, 12}",0,82.16666666666669,set(),"{2, 12}",89.33333333333333,5
0,82.16666666666669,set(),3,85.18333333333332,"{34, 29, 7}","{34, 29, 7}",85.18333333333332,5
1,84.00000000000001,{12},2,82.86666666666669,"{29, 7}","{12, 29, 7}",84.70000000000002,5
2,89.33333333333333,"{2, 12}",1,82.46666666666668,{29},"{2, 12, 29}",89.63333333333331,5
3,89.66666666666667,"{25, 2, 12}",0,82.16666666666669,set(),"{25, 2, 12}",89.66666666666667,5
0,82.16666666666669,set(),4,88.8833333333333,"{34, 44, 29, 7}","{34, 44, 29, 7}",88.8833333333333,5
1,84.00000000000001,{12},3,85.18333333333332,"{34, 29, 7}","{34, 12, 29, 7}",87.01666666666665,5
2,89.33333333333333,"{2, 12}",2,82.86666666666669,"{29, 7}","{2, 12, 29, 7}",89.63333333333331,5
3,89.66666666666667,"{25, 2, 12}",1,82.46666666666668,{29},"{25, 2, 12, 29}",89.96666666666665,5
4,90.83333333333333,"{25, 2, 12, 22}",0,82.16666666666669,set(),"{25, 2, 12, 22}",90.83333333333333,5
0,82.16666666666669,set(),5,91.38333333333331,"{34, 7, 44, 28, 29}","{34, 29, 7, 44, 28}",91.38333333333331,5
1,84.00000000000001,{12},4,88.8833333333333,"{34, 44, 29, 7}","{34, 7, 12, 29, 44}",89.61666666666663,5
2,89.33333333333333,"{2, 12}",3,85.18333333333332,"{34, 29, 7}","{2, 34, 7, 12, 29}",91.94999999999996,5
3,89.66666666666667,"{25, 2, 12}",2,82.86666666666669,"{29, 7}","{2, 7, 25, 12, 29}",89.96666666666665,5
4,90.83333333333333,"{25, 2, 12, 22}",1,82.46666666666668,{29},"{2, 22, 25, 12, 29}",91.13333333333333,5
5,91.66666666666666,"{2, 12, 21, 22, 25}",0,82.16666666666669,set(),"{2, 21, 22, 25, 12}",91.66666666666666,5
0,82.85714285714279,set(),1,83.14285714285707,{29},{29},83.14285714285707,6
1,85.14285714285707,{12},0,82.85714285714279,set(),{12},85.14285714285707,6
0,82.85714285714279,set(),2,83.42857142857136,"{29, 7}","{29, 7}",83.42857142857136,6
1,85.14285714285707,{12},1,83.14285714285707,{29},"{12, 29}",85.42857142857135,6
2,90.7142857142857,"{2, 12}",0,82.85714285714279,set(),"{2, 12}",90.7142857142857,6
0,82.85714285714279,set(),3,85.85238095238093,"{34, 29, 7}","{34, 29, 7}",85.85238095238093,6
1,85.14285714285707,{12},2,83.42857142857136,"{29, 7}","{12, 29, 7}",85.71428571428564,6
2,90.7142857142857,"{2, 12}",1,83.14285714285707,{29},"{2, 12, 29}",90.99999999999997,6
3,91.42857142857139,"{25, 2, 12}",0,82.85714285714279,set(),"{25, 2, 12}",91.42857142857139,6
0,82.85714285714279,set(),4,89.37619047619046,"{34, 44, 29, 7}","{34, 44, 29, 7}",89.37619047619046,6
1,85.14285714285707,{12},3,85.85238095238093,"{34, 29, 7}","{34, 12, 29, 7}",88.1380952380952,6
