K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,kmax,n,m,dataset,graphid
1,{27},95.25,{42},90.0,{27},95.25,{12},87.625,95.25,{27},1.0,0.9448818897637795,1.0,0.9199475065616798,0.021448850631713867,8,112,48,productivity (11),7
2,"{10, 27}",102.125,"{9, 42}",94.625,"{10, 27}",102.125,"{2, 12}",93.125,102.125,"{10, 27}",1.0,0.9265605875152999,1.0,0.9118727050183598,0.59726881980896,8,112,48,productivity (11),7
3,"{26, 10, 27}",107.0,"{9, 42, 2}",97.625,"{26, 10, 27}",107.0,"{25, 2, 12}",93.75,107.0,"{27, 10, 26}",1.0,0.9123831775700935,1.0,0.8761682242990654,9.466675996780396,8,112,48,productivity (11),7
4,"{26, 9, 10, 27}",109.25,"{9, 42, 2, 49}",100.375,"{26, 9, 10, 27}",109.25,"{25, 2, 12, 22}",95.125,109.25,"{27, 9, 10, 26}",1.0,0.9187643020594966,1.0,0.8707093821510298,107.98461174964905,8,112,48,productivity (11),7
5,"{9, 10, 20, 26, 27}",111.5,"{2, 9, 42, 49, 19}",101.125,"{26, 20, 9, 10, 27}",111.5,"{2, 21, 22, 25, 12}",96.75,111.5,"{9, 10, 20, 26, 27}",1.0,0.9069506726457399,1.0,0.8677130044843049,948.7450649738312,8,112,48,productivity (11),7
1,{27},96.3333333333333,{42},91.77777777777776,{27},96.3333333333333,{12},89.77777777777773,96.3333333333333,{27},1.0,0.9527104959630912,1.0,0.9319492502883504,0.022668838500976562,9,112,48,productivity (11),8
2,"{26, 27}",103.33333333333329,"{9, 42}",96.77777777777771,"{26, 27}",103.33333333333329,"{2, 12}",95.44444444444436,103.33333333333327,"{26, 27}",1.0000000000000002,0.9365591397849462,1.0000000000000002,0.9236559139784943,0.607896089553833,9,112,48,productivity (11),8
3,"{10, 26, 27}",108.2222222222222,"{9, 42, 2}",98.99999999999996,"{10, 26, 27}",108.2222222222222,"{25, 2, 12}",96.22222222222216,108.2222222222222,"{27, 10, 26}",1.0,0.9147843942505132,1.0,0.8891170431211495,9.688138961791992,9,112,48,productivity (11),8
4,"{10, 26, 27, 20}",110.11111111111111,"{9, 42, 2, 49}",102.11111111111109,"{10, 26, 27, 20}",110.11111111111111,"{25, 2, 12, 22}",98.11111111111106,110.11111111111111,"{27, 10, 26, 20}",1.0,0.9273461150353176,1.0,0.8910191725529762,115.26822900772095,9,112,48,productivity (11),8
5,"{9, 10, 20, 26, 27}",112.0,"{2, 9, 42, 49, 19}",102.88888888888889,"{26, 20, 9, 10, 27}",112.0,"{2, 21, 22, 25, 12}",99.11111111111109,112.0,"{9, 10, 20, 26, 27}",1.0,0.9186507936507936,1.0,0.8849206349206347,1020.8246858119965,9,112,48,productivity (11),8
1,{27},98.69999999999996,{42},92.6,{27},98.69999999999996,{12},91.5,98.69999999999997,{27},0.9999999999999999,0.938196555217832,0.9999999999999999,0.927051671732523,0.026866912841796875,10,112,48,productivity (11),9
2,"{1, 27}",106.0,"{9, 42}",97.49999999999996,"{1, 27}",106.0,"{2, 12}",97.1,106.0,"{1, 27}",1.0,0.9198113207547166,1.0,0.9160377358490566,0.6201138496398926,10,112,48,productivity (11),9
3,"{16, 1, 27}",109.5,"{9, 42, 2}",100.29999999999995,"{16, 1, 27}",109.5,"{25, 2, 12}",98.29999999999995,110.4,"{35, 26, 27}",0.9918478260869564,0.9085144927536227,0.9918478260869564,0.8903985507246372,10.550359010696411,10,112,48,productivity (11),9
4,"{16, 1, 27, 35}",111.3,"{9, 42, 2, 49}",103.2,"{16, 1, 27, 35}",111.3,"{25, 2, 12, 22}",100.0,111.5,"{27, 9, 10, 26}",0.9982062780269058,0.925560538116592,0.9982062780269058,0.8968609865470852,123.0104329586029,10,112,48,productivity (11),9
