K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,dataset,graphid
3,234.39999999999986,"{8, 9, 5}",166.6,"{18, 3, 5}",234.39999999999986,"{8, 9, 5}",94.95000000000029,"{41, 1, 7}",267.0,"{3, 5, 6, 8, 9, 43, 11, 46, 18, 31}",267,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.406962785114045,0.8779026217228459,0.6239700374531835,2.468667719852545,0.8779026217228459,0.355617977528091,0.19582414627075195,0.0009732246398925781,5,328,49,adult (14),4
4,245.1999999999999,"{8, 9, 5, 46}",217.79999999999984,"{9, 18, 3, 5}",245.1999999999999,"{8, 9, 5, 46}",98.65000000000025,"{48, 41, 1, 7}",267.0,"{3, 5, 6, 8, 9, 43, 11, 46, 18, 31}",267,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1258034894398534,0.9183520599250933,0.8157303370786511,2.485554992397357,0.9183520599250933,0.36947565543071254,0.3198399543762207,0.0009949207305908203,5,328,49,adult (14),4
5,251.39999999999992,"{5, 8, 9, 46, 31}",245.39999999999986,"{18, 3, 5, 8, 9}",251.39999999999992,"{5, 8, 9, 46, 31}",99.51666666666691,"{1, 7, 41, 48, 17}",267.0,"{3, 5, 6, 8, 9, 43, 11, 46, 18, 31}",267,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0244498777506115,0.9415730337078648,0.9191011235955051,2.526210015072845,0.9415730337078648,0.37272159800249777,0.3842771053314209,0.001870870590209961,5,328,49,adult (14),4
1,177.50000000000003,{5},101.66666666666666,{18},177.50000000000003,{5},94.36666666666662,{41},284.0,"{3, 5, 6, 8, 9, 43, 46, 18, 31}",284,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.7459016393442628,0.6250000000000001,0.35798122065727694,1.8809607912398458,0.6250000000000001,0.33227699530516414,0.08275032043457031,0.0019462108612060547,6,328,49,adult (14),5
2,231.83333333333334,"{9, 5}",184.50000000000003,"{18, 5}",231.83333333333334,"{9, 5}",94.63333333333328,"{41, 7}",284.0,"{3, 5, 6, 8, 9, 43, 46, 18, 31}",284,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.2565492321589882,0.8163145539906104,0.6496478873239437,2.449806269813316,0.8163145539906104,0.33321596244131435,0.1614220142364502,0.001238107681274414,6,328,49,adult (14),5
3,255.3333333333333,"{8, 9, 5}",190.5,"{18, 3, 5}",255.3333333333333,"{8, 9, 5}",96.56666666666668,"{41, 1, 7}",284.0,"{3, 5, 6, 8, 9, 43, 46, 18, 31}",284,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.3403324584426943,0.8990610328638496,0.670774647887324,2.644114601311701,0.8990610328638496,0.3400234741784038,0.23256182670593262,0.0016589164733886719,6,328,49,adult (14),5
4,265.8333333333333,"{8, 9, 5, 46}",244.83333333333331,"{9, 18, 3, 5}",265.8333333333333,"{8, 9, 5, 46}",99.85000000000008,"{48, 41, 1, 7}",284.0,"{3, 5, 6, 8, 9, 43, 46, 18, 31}",284,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0857726344452008,0.9360328638497651,0.8620892018779343,2.662326823568684,0.9360328638497651,0.3515845070422538,0.3544919490814209,0.0019252300262451172,6,328,49,adult (14),5
5,273.5,"{5, 8, 9, 46, 31}",265.83333333333326,"{18, 3, 5, 8, 9}",273.5,"{5, 8, 9, 46, 31}",100.4500000000001,"{1, 7, 41, 48, 17}",284.0,"{3, 5, 6, 8, 9, 43, 46, 18, 31}",284,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0288401253918498,0.9630281690140845,0.936032863849765,2.7227476356396187,0.9630281690140845,0.3536971830985919,0.402878999710083,0.0021381378173828125,6,328,49,adult (14),5
1,189.5714285714283,{5},101.57142857142871,{18},189.5714285714283,{5},94.1904761904763,{41},295.0,"{3, 5, 6, 8, 9, 40, 43, 46, 18, 31}",295,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.8663853727144815,0.6426150121065366,0.3443099273607753,2.0126390293225427,0.6426150121065366,0.3192897497982248,0.08930706977844238,0.0020987987518310547,7,328,49,adult (14),6
2,244.8571428571427,"{9, 5}",195.99999999999974,"{18, 5}",244.8571428571427,"{9, 5}",94.40476190476205,"{41, 7}",295.0,"{3, 5, 6, 8, 9, 40, 43, 46, 18, 31}",295,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.24927113702624,0.8300242130750599,0.6644067796610161,2.5936948297603974,0.8300242130750599,0.32001614205004086,0.1841728687286377,0.001416921615600586,7,328,49,adult (14),6
3,269.28571428571416,"{8, 9, 5}",202.14285714285685,"{18, 3, 5}",269.28571428571416,"{8, 9, 5}",96.2714285714288,"{41, 1, 7}",295.0,"{3, 5, 6, 8, 9, 40, 43, 46, 18, 31}",295,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.3321554770318034,0.9128329297820819,0.6852300242130741,2.7971509125983003,0.9128329297820819,0.32634382566586034,0.24956893920898438,0.0022759437561035156,7,328,49,adult (14),6
4,281.7142857142856,"{8, 9, 5, 46}",257.42857142857133,"{9, 18, 3, 5}",281.7142857142856,"{8, 9, 5, 46}",99.72380952380972,"{48, 41, 1, 7}",295.0,"{3, 5, 6, 8, 9, 40, 43, 46, 18, 31}",295,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0943396226415094,0.9549636803874089,0.8726392251815978,2.824945086429179,0.9549636803874089,0.3380468119451177,0.3360731601715088,0.002285003662109375,7,328,49,adult (14),6
5,287.1428571428571,"{5, 8, 9, 46, 31}",278.5714285714285,"{18, 3, 5, 8, 9}",287.1428571428571,"{5, 8, 9, 46, 31}",100.28571428571446,"{1, 7, 41, 48, 17}",295.0,"{3, 5, 6, 8, 9, 40, 43, 46, 18, 31}",295,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0307692307692309,0.973365617433414,0.9443099273607746,2.863247863247858,0.973365617433414,0.3399515738498795,0.47768616676330566,0.0022881031036376953,7,328,49,adult (14),6
1,208.0,{8},104.125,{18},208.0,{8},96.35714285714286,{41},309.0,"{3, 5, 6, 8, 9, 40, 43, 46, 18, 31}",309,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.9975990396158463,0.6731391585760518,0.33697411003236244,2.1586360266864344,0.6731391585760518,0.31183541377716134,0.11397314071655273,0.0021219253540039062,8,328,49,adult (14),7
2,266.375,"{8, 9}",206.875,"{18, 5}",266.375,"{8, 9}",96.58928571428574,"{41, 7}",309.0,"{3, 5, 6, 8, 9, 40, 43, 46, 18, 31}",309,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.2876132930513595,0.8620550161812298,0.6694983818770227,2.7578110556479936,0.8620550161812298,0.3125866851595008,0.22623229026794434,0.002480745315551758,8,328,49,adult (14),7
3,287.5,"{8, 9, 5}",213.875,"{18, 3, 5}",287.5,"{8, 9, 5}",98.66071428571426,"{41, 1, 7}",309.0,"{3, 5, 6, 8, 9, 40, 43, 46, 18, 31}",309,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.3442431326709527,0.93042071197411,0.6921521035598706,2.9140271493212677,0.93042071197411,0.3192903374942209,0.32801008224487305,0.0030388832092285156,8,328,49,adult (14),7
4,296.5,"{8, 9, 5, 46}",273.75,"{9, 18, 3, 5}",296.5,"{8, 9, 5, 46}",102.47380952380958,"{48, 41, 1, 7}",309.0,"{3, 5, 6, 8, 9, 40, 43, 46, 18, 31}",309,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0831050228310501,0.959546925566343,0.8859223300970874,2.8934222449406337,0.959546925566343,0.33163045153336435,0.4629697799682617,0.003062009811401367,8,328,49,adult (14),7
