[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
6,165.59999999999997,"{0, 41, 44, 12, 18, 19}",0,118.99999999999993,set(),"{0, 18, 19, 41, 44, 12}",165.59999999999997,4
0,121.16666666666667,set(),0,121.16666666666667,set(),set(),121.16666666666667,5
0,121.16666666666667,set(),2,123.13333333333333,"{36, 4}","{36, 4}",123.13333333333333,5
1,144.66666666666669,{44},1,122.2333333333333,{36},"{44, 36}",145.7333333333334,5
2,157.66666666666666,"{44, 12}",0,121.16666666666667,set(),"{44, 12}",157.66666666666666,5
0,121.16666666666667,set(),4,124.43333333333335,"{40, 1, 36, 4}","{40, 1, 36, 4}",124.43333333333335,5
1,144.66666666666669,{44},3,123.93333333333334,"{1, 36, 4}","{1, 44, 4, 36}",147.36666666666673,5
2,157.66666666666666,"{44, 12}",2,123.13333333333333,"{36, 4}","{4, 44, 12, 36}",159.26666666666674,5
3,162.66666666666669,"{0, 44, 12}",1,122.2333333333333,{36},"{0, 44, 12, 36}",163.46666666666675,5
4,164.33333333333334,"{0, 19, 44, 12}",0,121.16666666666667,set(),"{0, 19, 44, 12}",164.33333333333334,5
0,121.16666666666667,set(),6,125.10000000000004,"{1, 36, 4, 40, 9, 11}","{1, 36, 4, 40, 9, 11}",125.10000000000004,5
1,144.66666666666669,{44},5,124.70000000000002,"{1, 36, 4, 40, 11}","{1, 36, 4, 40, 11, 44}",147.9333333333334,5
2,157.66666666666666,"{44, 12}",4,124.43333333333335,"{40, 1, 36, 4}","{1, 36, 4, 40, 44, 12}",160.13333333333338,5
3,162.66666666666669,"{0, 44, 12}",3,123.93333333333334,"{1, 36, 4}","{0, 1, 36, 4, 44, 12}",164.60000000000008,5
4,164.33333333333334,"{0, 19, 44, 12}",2,123.13333333333333,"{36, 4}","{0, 19, 36, 4, 44, 12}",165.86666666666676,5
5,168.66666666666666,"{0, 44, 12, 18, 19}",1,122.2333333333333,{36},"{0, 18, 19, 36, 44, 12}",169.46666666666673,5
6,180.16666666666669,"{0, 41, 44, 12, 18, 19}",0,121.16666666666667,set(),"{0, 18, 19, 41, 44, 12}",180.16666666666669,5
0,121.0,set(),0,121.0,set(),set(),121.0,6
0,121.0,set(),2,122.92857142857143,"{36, 4}","{36, 4}",122.92857142857143,6
1,146.8571428571428,{44},1,122.02380952380953,{36},"{44, 36}",147.76190476190465,6
2,164.42857142857133,"{44, 12}",0,121.0,set(),"{44, 12}",164.42857142857133,6
0,121.0,set(),4,124.2380952380952,"{40, 1, 36, 4}","{40, 1, 36, 4}",124.2380952380952,6
1,146.8571428571428,{44},3,123.71428571428568,"{1, 36, 4}","{1, 44, 4, 36}",149.3809523809523,6
2,164.42857142857133,"{44, 12}",2,122.92857142857143,"{36, 4}","{4, 44, 12, 36}",165.8095238095237,6
3,167.85714285714275,"{0, 44, 12}",1,122.02380952380953,{36},"{0, 44, 12, 36}",168.52380952380938,6
4,169.71428571428564,"{0, 19, 44, 12}",0,121.0,set(),"{0, 19, 44, 12}",169.71428571428564,6
0,121.0,set(),6,125.09999999999997,"{1, 36, 4, 40, 9, 11}","{1, 36, 4, 40, 9, 11}",125.09999999999997,6
1,146.8571428571428,{44},5,124.56666666666663,"{1, 36, 4, 40, 11}","{1, 36, 4, 40, 11, 44}",150.04285714285706,6
2,164.42857142857133,"{44, 12}",4,124.2380952380952,"{40, 1, 36, 4}","{1, 36, 4, 40, 44, 12}",166.52380952380946,6
3,167.85714285714275,"{0, 44, 12}",3,123.71428571428568,"{1, 36, 4}","{0, 1, 36, 4, 44, 12}",169.61904761904754,6
4,169.71428571428564,"{0, 19, 44, 12}",2,122.92857142857143,"{36, 4}","{0, 19, 36, 4, 44, 12}",171.04761904761892,6
5,175.85714285714278,"{0, 44, 12, 18, 19}",1,122.02380952380953,{36},"{0, 18, 19, 36, 44, 12}",176.45238095238082,6
6,186.71428571428564,"{0, 41, 44, 12, 18, 19}",0,121.0,set(),"{0, 18, 19, 41, 44, 12}",186.71428571428564,6
0,121.75,set(),0,121.75,set(),set(),121.75,7
0,121.75,set(),2,123.67857142857143,"{36, 4}","{36, 4}",123.67857142857143,7
1,153.625,{44},1,122.8392857142857,{36},"{44, 36}",154.62500000000003,7
2,173.0,"{44, 12}",0,121.75,set(),"{44, 12}",173.0,7
0,121.75,set(),4,125.14285714285714,"{40, 1, 36, 4}","{40, 1, 36, 4}",125.14285714285714,7
1,153.625,{44},3,124.57142857142857,"{1, 36, 4}","{1, 44, 4, 36}",156.12499999999994,7
2,173.0,"{44, 12}",2,123.67857142857143,"{36, 4}","{4, 44, 12, 36}",174.21428571428572,7
3,177.25,"{0, 44, 12}",1,122.8392857142857,{36},"{0, 44, 12, 36}",177.96428571428572,7
4,180.0,"{0, 19, 44, 12}",0,121.75,set(),"{0, 19, 44, 12}",180.0,7
0,121.75,set(),6,126.51190476190473,"{1, 36, 4, 40, 9, 11}","{1, 36, 4, 40, 9, 11}",126.51190476190473,7
1,153.625,{44},5,125.82142857142856,"{1, 36, 4, 40, 11}","{1, 36, 4, 40, 11, 44}",157.0,7
2,173.0,"{44, 12}",4,125.14285714285714,"{40, 1, 36, 4}","{1, 36, 4, 40, 44, 12}",175.05357142857144,7
3,177.25,"{0, 44, 12}",3,124.57142857142857,"{1, 36, 4}","{0, 1, 36, 4, 44, 12}",178.89285714285714,7
4,180.0,"{0, 19, 44, 12}",2,123.67857142857143,"{36, 4}","{0, 19, 36, 4, 44, 12}",181.1607142857143,7
5,185.125,"{0, 44, 12, 18, 19}",1,122.8392857142857,{36},"{0, 18, 19, 36, 44, 12}",185.6607142857143,7
6,195.25,"{0, 41, 44, 12, 18, 19}",0,121.75,set(),"{0, 18, 19, 41, 44, 12}",195.25,7
0,123.33333333333336,set(),0,123.33333333333336,set(),set(),123.33333333333336,8
0,123.33333333333336,set(),2,125.19444444444446,"{36, 4}","{36, 4}",125.19444444444446,8
1,159.33333333333337,{44},1,124.33333333333336,{36},"{44, 36}",160.2638888888889,8
2,179.44444444444446,"{44, 12}",0,123.33333333333336,set(),"{44, 12}",179.44444444444446,8
0,123.33333333333336,set(),4,126.7797619047619,"{40, 1, 36, 4}","{40, 1, 36, 4}",126.7797619047619,8
1,159.33333333333337,{44},3,126.1388888888889,"{1, 36, 4}","{1, 44, 4, 36}",161.7083333333333,8
2,179.44444444444446,"{44, 12}",2,125.19444444444446,"{36, 4}","{4, 44, 12, 36}",180.54166666666666,8
3,184.22222222222229,"{0, 44, 12}",1,124.33333333333336,{36},"{0, 44, 12, 36}",184.91666666666674,8
4,186.11111111111117,"{0, 19, 44, 12}",0,123.33333333333336,set(),"{0, 19, 44, 12}",186.11111111111117,8
0,123.33333333333336,set(),6,128.109126984127,"{1, 36, 4, 40, 9, 11}","{1, 36, 4, 40, 9, 11}",128.109126984127,8
1,159.33333333333337,{44},5,127.50396825396824,"{1, 36, 4, 40, 11}","{1, 36, 4, 40, 11, 44}",162.42063492063485,8
2,179.44444444444446,"{44, 12}",4,126.7797619047619,"{40, 1, 36, 4}","{1, 36, 4, 40, 44, 12}",181.4603174603174,8
3,184.22222222222229,"{0, 44, 12}",3,126.1388888888889,"{1, 36, 4}","{0, 1, 36, 4, 44, 12}",185.69444444444446,8
4,186.11111111111117,"{0, 19, 44, 12}",2,125.19444444444446,"{36, 4}","{0, 19, 36, 4, 44, 12}",187.1527777777778,8
5,191.66666666666669,"{0, 44, 12, 18, 19}",1,124.33333333333336,{36},"{0, 18, 19, 36, 44, 12}",192.19444444444449,8
6,202.44444444444443,"{0, 41, 44, 12, 18, 19}",0,123.33333333333336,set(),"{0, 18, 19, 41, 44, 12}",202.44444444444443,8
0,124.79999999999995,set(),0,124.79999999999995,set(),set(),124.79999999999995,9
0,124.79999999999995,set(),2,126.65555555555552,"{36, 4}","{36, 4}",126.65555555555552,9
1,165.49999999999994,{44},1,125.82222222222218,{36},"{44, 36}",166.41111111111107,9
2,186.7,"{44, 12}",0,124.79999999999995,set(),"{44, 12}",186.7,9
0,124.79999999999995,set(),4,128.14444444444442,"{40, 1, 36, 4}","{40, 1, 36, 4}",128.14444444444442,9
1,165.49999999999994,{44},3,127.56388888888887,"{1, 36, 4}","{1, 44, 4, 36}",167.5972222222222,9
2,186.7,"{44, 12}",2,126.65555555555552,"{36, 4}","{4, 44, 12, 36}",187.55555555555551,9
3,191.9,"{0, 44, 12}",1,125.82222222222218,{36},"{0, 44, 12, 36}",192.3222222222222,9
4,193.7,"{0, 19, 44, 12}",0,124.79999999999995,set(),"{0, 19, 44, 12}",193.7,9
0,124.79999999999995,set(),6,129.5948412698413,"{1, 36, 4, 40, 9, 11}","{1, 36, 4, 40, 9, 11}",129.5948412698413,9
1,165.49999999999994,{44},5,128.8936507936508,"{1, 36, 4, 40, 11}","{1, 36, 4, 40, 11, 44}",168.34920634920633,9
2,186.7,"{44, 12}",4,128.14444444444442,"{40, 1, 36, 4}","{1, 36, 4, 40, 44, 12}",188.34444444444443,9
3,191.9,"{0, 44, 12}",3,127.56388888888887,"{1, 36, 4}","{0, 1, 36, 4, 44, 12}",192.91944444444445,9
4,193.7,"{0, 19, 44, 12}",2,126.65555555555552,"{36, 4}","{0, 19, 36, 4, 44, 12}",194.3888888888889,9
5,198.39999999999998,"{0, 44, 12, 18, 19}",1,125.82222222222218,{36},"{0, 18, 19, 36, 44, 12}",198.7444444444444,9
6,206.99999999999994,"{0, 41, 44, 12, 18, 19}",0,124.79999999999995,set(),"{0, 18, 19, 41, 44, 12}",206.99999999999994,9
