K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,graphid
1,26.1,{42},23.102777777777778,{13},26.1,{42},23.019444444444446,{8},29.0,"{0, 42, 18, 14}",29,"{0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 16, 18, 20, 23, 24, 26, 27, 28, 29, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.129734279187207,0.9,0.796647509578544,1.1338240617835162,0.9,0.7937739463601533,0.008196115493774414,0.00035119056701660156,5.5,224,39,3
2,28.166666666666668,"{42, 14}",25.113492063492064,"{0, 13}",28.166666666666668,"{42, 14}",23.019444444444446,"{8, 1}",29.0,"{0, 42, 18, 14}",29,"{0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 16, 18, 20, 23, 24, 26, 27, 28, 29, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.121575071895838,0.971264367816092,0.8659824849480022,1.223603233980934,0.971264367816092,0.7937739463601533,0.016749143600463867,0.00023102760314941406,5.5,224,39,3
3,28.666666666666668,"{0, 42, 14}",25.54206349206349,"{0, 24, 13}",28.666666666666668,"{0, 42, 14}",23.469444444444445,"{8, 1, 26}",29.0,"{0, 42, 18, 14}",29,"{0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 16, 18, 20, 23, 24, 26, 27, 28, 29, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1223316657862847,0.9885057471264368,0.8807608100711548,1.2214463250088767,0.9885057471264368,0.8092911877394636,0.03628396987915039,0.00045990943908691406,5.5,224,39,3
0,36.34289263368211,set(),36.34289263368211,set(),36.34289263368211,set(),36.34289263368211,set(),51.0,"{36, 39, 41, 42, 12, 13, 47, 18}",51,"{0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.7126057379153355,0.7126057379153355,1.0,0.7126057379153355,0.7126057379153355,0.0004858970642089844,0.0005450248718261719,6.0,224,44,4
1,44.224999999999994,{42},39.677980352980356,{13},44.224999999999994,{42},37.013744588744586,{46},51.0,"{36, 39, 41, 42, 12, 13, 47, 18}",51,"{0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1145980618612332,0.867156862745098,0.7779996147643207,1.1948264216814275,0.867156862745098,0.7257596978185213,0.01319575309753418,0.0004830360412597656,6.0,224,44,4
2,46.02499999999999,"{42, 39}",43.13333333333333,"{0, 13}",46.02499999999999,"{42, 39}",37.83326330532213,"{8, 46}",51.0,"{36, 39, 41, 42, 12, 13, 47, 18}",51,"{0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0670401854714062,0.9024509803921567,0.8457516339869281,1.216522075523036,0.9024509803921567,0.7418286922612182,0.02351093292236328,0.0004038810729980469,6.0,224,44,4
3,47.44166666666666,"{42, 13, 39}",43.82409812409813,"{0, 45, 13}",47.44166666666666,"{42, 13, 39}",37.99992997198879,"{8, 1, 46}",51.0,"{36, 39, 41, 42, 12, 13, 47, 18}",51,"{0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.08254747267872,0.9302287581699346,0.8592960416489829,1.248467213009017,0.9302287581699346,0.7450966661174273,0.03643202781677246,0.0004949569702148438,6.0,224,44,4
0,48.860579767950355,set(),48.860579767950355,set(),48.860579767950355,set(),48.860579767950355,set(),73.0,"{39, 42, 12, 13, 47, 24, 27}",73,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.6693230105198679,0.6693230105198679,1.0,0.6693230105198679,0.6693230105198679,0.00037407875061035156,0.00040912628173828125,6.5,224,48,5
1,65.85411255411255,{42},59.772852147852156,{47},65.85411255411255,{42},65.85411255411255,{42},73.0,"{39, 42, 12, 13, 47, 24, 27}",73,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1017395052726944,0.9021111308782541,0.8188061938061939,1.0,0.9021111308782541,0.9021111308782541,0.01813817024230957,0.0004138946533203125,6.5,224,48,5
2,68.88268398268397,"{42, 47}",61.263111888111894,"{13, 47}",68.88268398268397,"{42, 47}",66.04126984126982,"{42, 7}",73.0,"{39, 42, 12, 13, 47, 24, 27}",73,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1243745519895907,0.9435984107216983,0.8392207107960533,1.0430248259647867,0.9435984107216983,0.9046749293324633,0.04238390922546387,0.0003859996795654297,6.5,224,48,5
3,70.69696969696969,"{42, 12, 47}",63.604653679653694,"{0, 13, 47}",70.69696969696969,"{42, 12, 47}",66.04126984126982,"{1, 42, 7}",73.0,"{39, 42, 12, 13, 47, 24, 27}",73,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1115062437575183,0.9684516396845163,0.8712966257486807,1.0704968251956668,0.9684516396845163,0.9046749293324633,0.0655207633972168,0.0004000663757324219,6.5,224,48,5
0,50.449191077968294,set(),50.449191077968294,set(),50.449191077968294,set(),50.449191077968294,set(),87.0,"{42, 44, 13, 14, 47, 29}",87,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.579875759516877,0.579875759516877,1.0,0.579875759516877,0.579875759516877,0.0005202293395996094,0.0006296634674072266,7.0,224,49,6
1,81.57559523809523,{42},72.09397341788647,{47},81.57559523809523,{42},72.07926517926519,{41},87.0,"{42, 44, 13, 14, 47, 29}",87,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1315175370519441,0.9376505199781061,0.8286663611251319,1.1317484304981764,0.9376505199781061,0.8284973009110942,0.03503894805908203,0.0006189346313476562,7.0,224,49,6
2,84.32142857142857,"{42, 47}",74.19134826526133,"{13, 47}",84.32142857142857,"{42, 47}",72.55591908091911,"{41, 7}",87.0,"{42, 44, 13, 14, 47, 29}",87,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1365399139256573,0.9692118226600985,0.8527741179915095,1.1621578175777472,0.9692118226600985,0.8339760813898749,0.057212114334106445,0.00055694580078125,7.0,224,49,6
3,85.57142857142857,"{42, 44, 47}",77.87561327561329,"{0, 13, 47}",85.57142857142857,"{42, 44, 47}",72.72864635364637,"{41, 1, 7}",87.0,"{42, 44, 13, 14, 47, 29}",87,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0988218900900164,0.9835796387520526,0.895121991673716,1.1765849202710799,0.9835796387520526,0.8359614523407629,0.08547830581665039,0.0006279945373535156,7.0,224,49,6
0,51.410219360014196,set(),51.410219360014196,set(),51.410219360014196,set(),51.410219360014196,set(),97.0,"{38, 42, 44, 47, 16}",97,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.5300022614434453,0.5300022614434453,1.0,0.5300022614434453,0.5300022614434453,0.0009090900421142578,0.0008859634399414062,7.5,224,50,7
1,93.08333333333334,{42},80.13918804625328,{44},93.08333333333334,{42},51.85429548890124,{40},97.0,"{38, 42, 44, 47, 16}",97,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1615207940416017,0.9596219931271479,0.8261771963531266,1.7950939735215699,0.9596219931271479,0.5345803658649613,0.048974037170410156,0.0008640289306640625,7.5,224,50,7
2,94.41666666666667,"{42, 44}",86.91567460317462,"{44, 12}",94.41666666666667,"{42, 44}",53.081469474945706,"{40, 7}",97.0,"{38, 42, 44, 47, 16}",97,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0863019483854766,0.9733676975945018,0.8960378825069548,1.7787123755349512,0.9733676975945018,0.5472316440716052,0.08810019493103027,0.0013039112091064453,7.5,224,50,7
3,95.75,"{42, 44, 47}",88.60386141636143,"{0, 44, 12}",95.75,"{42, 44, 47}",53.64070089757206,"{40, 1, 7}",97.0,"{38, 42, 44, 47, 16}",97,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0806526766373974,0.9871134020618557,0.9134418702717673,1.785025146909181,0.9871134020618557,0.5529969164698151,0.171828031539917,0.0013780593872070312,7.5,224,50,7
0,50.685639070980265,set(),50.685639070980265,set(),50.685639070980265,set(),50.685639070980265,set(),103.0,"{8, 42, 44, 12, 14, 47}",103,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.49209358321340063,0.49209358321340063,1.0,0.49209358321340063,0.49209358321340063,0.0014541149139404297,0.0015869140625,8.0,224,50,8
1,98.41152882205512,{42},92.71292809042808,{44},98.41152882205512,{42},51.20980519616302,{40},103.0,"{8, 42, 44, 12, 14, 47}",103,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0614650065422255,0.9554517361364575,0.9001255154410494,1.921732145730341,0.9554517361364575,0.4971825747200293,0.10015583038330078,0.0018010139465332031,8.0,224,50,8
2,100.8,"{42, 44}",96.86666666666666,"{44, 12}",100.8,"{42, 44}",52.68690593775652,"{40, 7}",103.0,"{8, 42, 44, 12, 14, 47}",103,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0406056434962148,0.978640776699029,0.9404530744336569,1.9131888313783985,0.978640776699029,0.5115233586189953,0.18207693099975586,0.0014629364013671875,8.0,224,50,8
3,101.46666666666667,"{42, 44, 47}",97.94999999999999,"{0, 44, 12}",101.46666666666667,"{42, 44, 47}",53.46285355766424,"{40, 1, 7}",103.0,"{8, 42, 44, 12, 14, 47}",103,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0359026714310025,0.9851132686084143,0.9509708737864077,1.8978909638114665,0.9851132686084143,0.5190568306569343,0.28541016578674316,0.001979827880859375,8.0,224,50,8
0,50.91359832895664,set(),50.91359832895664,set(),50.91359832895664,set(),50.91359832895664,set(),106.0,"{42, 13, 6}",106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.48031696536751545,0.48031696536751545,1.0,0.48031696536751545,0.48031696536751545,0.0018551349639892578,0.0016689300537109375,8.5,224,50,9
1,103.05981518481519,{42},101.45902822667529,{44},103.05981518481519,{42},51.53914534811467,{40},106.0,"{42, 13, 6}",106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.015777668938081,0.9722624074039169,0.9571606436478801,1.9996415246840171,0.9722624074039169,0.4862183523407045,0.09278535842895508,0.0020186901092529297,8.5,224,50,9
2,105.5,"{42, 13}",103.79285714285714,"{44, 12}",105.5,"{42, 13}",52.85578639711685,"{40, 7}",106.0,"{42, 13, 6}",106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.01644759479733,0.9952830188679245,0.979177897574124,1.9959971687367564,0.9952830188679245,0.4986394943124231,0.192979097366333,0.0030319690704345703,8.5,224,50,9
3,106.0,"{42, 13, 6}",104.39285714285714,"{0, 44, 12}",106.0,"{42, 13, 6}",53.71325767455412,"{40, 1, 7}",106.0,"{42, 13, 6}",106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0153951419774205,1.0,0.9848382749326146,1.9734420251001825,1.0,0.5067288459863596,0.26943206787109375,0.002407073974609375,8.5,224,50,9
0,50.27775739362784,set(),50.27775739362784,set(),50.27775739362784,set(),50.27775739362784,set(),107.0,"{6, 47}",107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.46988558311801715,0.46988558311801715,1.0,0.46988558311801715,0.46988558311801715,0.002621889114379883,0.0026171207427978516,9.0,224,50,10
1,106.76923076923077,{47},106.04700854700855,{44},106.76923076923077,{47},50.95286776134523,{40},107.0,"{6, 47}",107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0068103969373363,0.99784327821711,0.9910935378225098,2.095450863910548,0.99784327821711,0.47619502580696477,0.08705401420593262,0.0014100074768066406,9.0,224,50,10
2,107.0,"{6, 47}",106.27777777777777,"{44, 12}",107.0,"{6, 47}",52.195857686281805,"{40, 7}",107.0,"{6, 47}",107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0067956089911134,1.0,0.9932502596053997,2.049971103897042,1.0,0.4878117540774001,0.15591883659362793,0.0013659000396728516,9.0,224,50,10
3,107.0,"{6, 47}",106.27777777777777,"{44, 12, 36}",107.0,"{6, 47}",53.164710606024,"{40, 1, 7}",107.0,"{6, 47}",107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0067956089911134,1.0,0.9932502596053997,2.012613231226279,1.0,0.49686645426190656,0.22638320922851562,0.0013680458068847656,9.0,224,50,10
0,49.25646808604192,set(),49.25646808604192,set(),49.25646808604192,set(),49.25646808604192,set(),108.0,"{12, 13}",108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.45607840820409185,0.45607840820409185,1.0,0.45607840820409185,0.45607840820409185,0.001348733901977539,0.0015244483947753906,9.5,224,50,11
1,107.25,{12},107.25,{44},107.25,{12},50.07916452343073,{40},108.0,"{12, 13}",108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.9930555555555556,0.9930555555555556,2.14160921054944,0.9930555555555556,0.46369596780954375,0.09280681610107422,0.002000093460083008,9.5,224,50,11
2,108.0,"{12, 13}",107.25,"{44, 36}",108.0,"{12, 13}",51.19600007114453,"{40, 7}",108.0,"{12, 13}",108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.006993006993007,1.0,0.9930555555555556,2.1095398048659617,1.0,0.4740370376957827,0.17083311080932617,0.001628875732421875,9.5,224,50,11
3,108.0,"{12, 13}",107.33333333333333,"{44, 4, 36}",108.0,"{12, 13}",52.22617098391889,"{40, 1, 7}",108.0,"{12, 13}",108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0062111801242237,1.0,0.9938271604938271,2.067928740808025,1.0,0.48357565725850826,0.24312281608581543,0.001463174819946289,9.5,224,50,11
0,48.22869689108058,set(),48.22869689108058,set(),48.22869689108058,set(),48.22869689108058,set(),108.0,{44},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.4465620082507461,0.4465620082507461,1.0,0.4465620082507461,0.4465620082507461,0.0014190673828125,0.0014300346374511719,10.0,224,50,12
1,108.0,{44},108.0,{44},108.0,{44},49.1632600376869,{40},108.0,{44},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,2.196762377377148,1.0,0.4552153707193231,0.09546494483947754,0.002667665481567383,10.0,224,50,12
