K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,graphid
1,103.36024844720497,{9},60.36628597391377,{18},103.36024844720497,{9},23.732406182325345,{41},105.0,"{9, 6}",105,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.7122181161165073,0.9843833185448092,0.5749170092753693,4.355236786912162,0.9843833185448092,0.22602291602214614,0.06107211112976074,0.0011548995971679688,6.0,328,49,4
2,105.0,"{9, 6}",101.55396825396826,"{18, 5}",105.0,"{9, 6}",23.804108553554574,"{41, 7}",105.0,"{9, 6}",105,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0339330092686663,1.0,0.967180650037793,4.41100324188871,1.0,0.2267057957481388,0.12644100189208984,0.001191854476928711,6.0,328,49,4
3,105.0,"{9, 6}",101.55396825396826,"{18, 5, 14}",105.0,"{9, 6}",24.491295034301306,"{41, 1, 7}",105.0,"{9, 6}",105,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0339330092686663,1.0,0.967180650037793,4.287237561465907,1.0,0.23325042889810768,0.1807401180267334,0.0012171268463134766,6.0,328,49,4
0,24.621835978734456,set(),24.621835978734456,set(),24.621835978734456,set(),24.621835978734456,set(),107.0,"{9, 3}",107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.2301106166236865,0.2301106166236865,1.0,0.2301106166236865,0.2301106166236865,0.0012290477752685547,0.0014069080352783203,6.5,328,49,5
1,106.21428571428571,{9},75.31483443584901,{18},106.21428571428571,{9},24.930745436261414,{41},107.0,"{9, 3}",107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.4102704534888935,0.9926568758344458,0.7038769573443833,4.260373440731481,0.9926568758344458,0.23299762089963938,0.06668281555175781,0.0012822151184082031,6.5,328,49,5
2,107.0,"{9, 3}",104.49206349206348,"{18, 5}",107.0,"{9, 3}",25.0153076032074,"{41, 7}",107.0,"{9, 3}",107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0240012152514053,1.0,0.9765613410473223,4.277380941990924,1.0,0.2337879215253028,0.1309199333190918,0.0013151168823242188,6.5,328,49,5
3,107.0,"{9, 3}",105.27777777777777,"{18, 3, 5}",107.0,"{9, 3}",25.631565825776068,"{41, 1, 7}",107.0,"{9, 3}",107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.016358839050132,1.0,0.9839044652128763,4.1745401247549525,1.0,0.23954734416613147,0.19378209114074707,0.0014848709106445312,6.5,328,49,5
0,25.684463880238255,set(),25.684463880238255,set(),25.684463880238255,set(),25.684463880238255,set(),107.0,{5},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.24004171850689957,0.24004171850689957,1.0,0.24004171850689957,0.24004171850689957,0.0013091564178466797,0.001461029052734375,7.0,328,49,6
1,107.0,{5},89.8792319074092,{18},107.0,{5},26.088454386229063,{41},107.0,{5},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.190486364082729,1.0,0.839992821564572,4.101431170122541,1.0,0.24381733071242115,0.08169007301330566,0.0013740062713623047,7.0,328,49,6
2,107.0,{5},107.0,"{18, 5}",107.0,{5},26.20761245926135,"{41, 7}",107.0,{5},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,4.082783205312085,1.0,0.2449309575631902,0.13759064674377441,0.0014100074768066406,7.0,328,49,6
3,107.0,{5},107.0,"{18, 5, 14}",107.0,{5},26.811207696413433,"{41, 1, 7}",107.0,{5},107,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,3.9908683417611774,1.0,0.2505720345459199,0.14036989212036133,0.0014231204986572266,7.0,328,49,6
0,26.341369641332733,set(),26.341369641332733,set(),26.341369641332733,set(),26.341369641332733,set(),108.0,{5},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.24390157075308086,0.24390157075308086,1.0,0.24390157075308086,0.24390157075308086,0.0013561248779296875,0.0015130043029785156,7.5,328,49,7
1,108.0,{5},99.57388805666265,{18},108.0,{5},26.825902905746904,{41},108.0,{5},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0846217026148708,1.0,0.9219804449690986,4.025959550344275,1.0,0.2483879898680269,0.07198214530944824,0.0014190673828125,7.5,328,49,7
2,108.0,{5},108.0,"{18, 5}",108.0,{5},27.096098815347492,"{41, 7}",108.0,{5},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,3.98581363081049,1.0,0.2508898038458101,0.14266085624694824,0.001455068588256836,7.5,328,49,7
3,108.0,{5},108.0,"{18, 5, 14}",108.0,{5},27.696869513833327,"{41, 1, 7}",108.0,{5},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,3.899357649284476,1.0,0.2564524954984567,0.1453697681427002,0.0015192031860351562,7.5,328,49,7
0,26.511927495327477,set(),26.511927495327477,set(),26.511927495327477,set(),26.511927495327477,set(),108.0,{5},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.24548081014192108,0.24548081014192108,1.0,0.24548081014192108,0.24548081014192108,0.0013952255249023438,0.001405954360961914,8.0,328,49,8
1,108.0,{5},104.93919981498613,{18},108.0,{5},27.04403293540666,{41},108.0,{5},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0291673672984951,1.0,0.9716592575461678,3.993487223519979,1.0,0.25040771236487647,0.07528495788574219,0.0014579296112060547,8.0,328,49,8
2,108.0,{5},108.0,"{18, 5}",108.0,{5},27.426988496137422,"{41, 7}",108.0,{5},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,3.937727250485768,1.0,0.2539535971864576,0.15083098411560059,0.0014948844909667969,8.0,328,49,8
3,108.0,{5},108.0,"{18, 5, 14}",108.0,{5},28.033970193644482,"{41, 1, 7}",108.0,{5},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,3.852468960121975,1.0,0.25957379808930076,0.14675211906433105,0.0015637874603271484,8.0,328,49,8
0,26.422091354272236,set(),26.422091354272236,set(),26.422091354272236,set(),26.422091354272236,set(),108.0,{5},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.24464899402103923,0.24464899402103923,1.0,0.24464899402103923,0.24464899402103923,0.0014030933380126953,0.001466989517211914,8.5,328,49,9
1,108.0,{5},106.45,{18},108.0,{5},26.9597080892178,{41},108.0,{5},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0145608266791921,1.0,0.9856481481481482,4.005978093034074,1.0,0.24962692675201664,0.08319807052612305,0.0015268325805664062,8.5,328,49,9
2,108.0,{5},108.0,"{18, 5}",108.0,{5},27.470916164585567,"{41, 7}",108.0,{5},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,3.9314305847298017,1.0,0.2543603348572738,0.15618205070495605,0.0017368793487548828,8.5,328,49,9
3,108.0,{5},108.0,"{18, 5, 14}",108.0,{5},28.071105464583685,"{41, 1, 7}",108.0,{5},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,3.8473725281770523,1.0,0.2599176431905897,0.19010090827941895,0.0015871524810791016,8.5,328,49,9
0,26.448328267477233,set(),26.448328267477233,set(),26.448328267477233,set(),26.448328267477233,set(),108.0,{3},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.244891928402567,0.244891928402567,1.0,0.244891928402567,0.244891928402567,0.0014190673828125,0.001528024673461914,9.0,328,49,10
1,108.0,{3},106.44832826747721,{18},108.0,{3},26.995969340557686,{41},108.0,{3},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0145767599902917,1.0,0.9856326691433075,4.000597223887977,1.0,0.24996267907923783,0.07696723937988281,0.001773834228515625,9.0,328,49,10
2,108.0,{3},108.0,"{18, 5}",108.0,{3},27.527786426800432,"{41, 7}",108.0,{3},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,3.923308555418522,1.0,0.2548869113592633,0.1538839340209961,0.0015521049499511719,9.0,328,49,10
3,108.0,{3},108.0,"{18, 5, 14}",108.0,{3},28.127173913043436,"{41, 1, 7}",108.0,{3},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,3.839703211345989,1.0,0.2604367954911429,0.16286587715148926,0.0017158985137939453,9.0,328,49,10
0,26.426574977817246,set(),26.426574977817246,set(),26.426574977817246,set(),26.426574977817246,set(),108.0,{3},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.2446905090538634,0.2446905090538634,1.0,0.2446905090538634,0.2446905090538634,0.001402139663696289,0.0014278888702392578,9.5,328,49,11
1,108.0,{3},107.21739130434783,{18},108.0,{3},26.97754137115839,{41},108.0,{3},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0072992700729926,1.0,0.9927536231884058,4.003329974148885,1.0,0.24979204973294808,0.0782167911529541,0.0016150474548339844,9.5,328,49,11
2,108.0,{3},108.0,"{18, 5}",108.0,{3},27.546421663442935,"{41, 7}",108.0,{3},108,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,3.9206544254467586,1.0,0.2550594598466938,0.1538689136505127,0.0015196800231933594,9.5,328,49,11
