K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,graphid,dataset,group0edges,group1edges,group0targets,group1targets
0,97.25089835250746,set(),97.25089835250746,set(),97.25089835250746,set(),97.25089835250746,set(),154.0,"{6, 41, 42, 44, 13, 14, 47, 24, 26, 27, 28}",154,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.6314993399513471,0.6314993399513471,1.0,0.6314993399513471,0.6314993399513471,0.0008502006530761719,0.0008678436279296875,6.5,224,48,5,studentportuguese (30),,[29],,1
2,138.67023809523806,"{42, 44}",123.89256715506716,"{37, 47}",138.67023809523806,"{42, 44}",129.57968975468978,"{42, 7}",154.0,"{6, 41, 42, 44, 13, 14, 47, 24, 26, 27, 28}",154,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1192781074725393,0.9004560915275199,0.8044971893186179,1.0701541141035127,0.9004560915275199,0.841426556848635,0.09273886680603027,0.001026153564453125,6.5,224,48,5,studentportuguese (30),,[29],,1
4,147.29826839826836,"{24, 42, 44, 47}",128.44015657545066,"{0, 23, 13, 47}",147.29826839826836,"{24, 42, 44, 47}",130.47839105339108,"{1, 42, 49, 7}",154.0,"{6, 41, 42, 44, 13, 14, 47, 24, 26, 27, 28}",154,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.146824111131784,0.956482262326418,0.8340269907496796,1.1289092945512693,0.956482262326418,0.8472622795674746,0.18256211280822754,0.0012309551239013672,6.5,224,48,5,studentportuguese (30),,[29],,1
6,151.33333333333334,"{24, 41, 42, 44, 28, 47}",135.0285714285714,"{0, 19, 23, 41, 13, 47}",151.33333333333334,"{41, 42, 44, 47, 24, 28}",133.5531746031746,"{1, 7, 42, 15, 16, 18}",154.0,"{6, 41, 42, 44, 13, 14, 47, 24, 26, 27, 28}",154,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1207504584567642,0.9826839826839827,0.8768089053803338,1.133131681691497,0.9826839826839827,0.8672284065141208,0.2868659496307373,0.0013282299041748047,6.5,224,48,5,studentportuguese (30),,[29],,1
0,103.21452157990244,set(),103.21452157990244,set(),103.21452157990244,set(),103.21452157990244,set(),182.0,"{39, 41, 42, 43, 44, 12, 9, 47, 14, 13, 28, 29}",182,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.5671127559335298,0.5671127559335298,1.0,0.5671127559335298,0.5671127559335298,0.0011022090911865234,0.0011248588562011719,7.0,224,49,6,studentportuguese (30),,"[29, 40, 45]",,1
2,171.29047619047617,"{42, 44}",152.37947534286207,"{13, 47}",171.29047619047617,"{42, 44}",152.31232371429738,"{41, 7}",182.0,"{39, 41, 42, 43, 44, 12, 9, 47, 14, 13, 28, 29}",182,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.124104646016554,0.9411564625850339,0.8372498645212202,1.1246002425370216,0.9411564625850339,0.8368808995291065,0.12388396263122559,0.0012810230255126953,7.0,224,49,6,studentportuguese (30),,"[29, 40, 45]",,1
4,176.07142857142856,"{42, 44, 28, 47}",159.49842744974322,"{0, 23, 13, 47}",176.07142857142856,"{42, 44, 28, 47}",153.7877414252414,"{48, 41, 1, 7}",182.0,"{39, 41, 42, 43, 44, 12, 9, 47, 14, 13, 28, 29}",182,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.103906987590253,0.9674254317111459,0.8763649859876002,1.1448989818022628,0.9674254317111459,0.8449875902485791,0.2708559036254883,0.0014622211456298828,7.0,224,49,6,studentportuguese (30),,"[29, 40, 45]",,1
6,178.57142857142856,"{41, 42, 43, 44, 28, 47}",169.06944444444443,"{0, 19, 23, 41, 13, 47}",178.57142857142856,"{41, 42, 43, 44, 47, 28}",156.7366535511272,"{1, 7, 41, 15, 16, 18}",182.0,"{39, 41, 42, 43, 44, 12, 9, 47, 14, 13, 28, 29}",182,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0562016641043996,0.9811616954474096,0.9289529914529914,1.139308671747154,0.9811616954474096,0.8611904041270726,0.37677001953125,0.002113819122314453,7.0,224,49,6,studentportuguese (30),,"[29, 40, 45]",,1
0,107.83169672832011,set(),107.83169672832011,set(),107.83169672832011,set(),107.83169672832011,set(),201.0,"{6, 39, 42, 44, 47, 16, 24, 28}",201,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.5364761031259707,0.5364761031259707,1.0,0.5364761031259707,0.5364761031259707,0.001683950424194336,0.001833200454711914,7.5,224,50,7,studentportuguese (30),,"[8, 29, 31, 33, 40, 42, 45, 46, 48]",,1
2,193.3166666666667,"{42, 44}",184.94265873015874,"{44, 12}",193.3166666666667,"{42, 44}",111.52380026646601,"{40, 7}",201.0,"{6, 39, 42, 44, 47, 16, 24, 28}",201,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0452789421002435,0.9617744610281925,0.9201127300007897,1.7334117578917807,0.9617744610281925,0.5548447774451045,0.21972322463989258,0.002187967300415039,7.5,224,50,7,studentportuguese (30),,"[8, 29, 31, 33, 40, 42, 45, 46, 48]",,1
