K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,graphid,dataset,group0edges,group1edges,group0targets,group1targets
0,94.33333333333329,set(),94.33333333333329,set(),94.33333333333329,set(),94.33333333333329,set(),284.0,"{3, 5, 6, 8, 9, 43, 46, 18, 31}",284,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.3321596244131454,0.3321596244131454,1.0,0.3321596244131454,0.3321596244131454,0.0011372566223144531,0.001055002212524414,6,328,49,5,adult (14),"[44, 13, 20, 8, 45, 9]",,,-1
2,231.83333333333334,"{9, 5}",184.50000000000003,"{18, 5}",231.83333333333334,"{9, 5}",94.63333333333328,"{41, 7}",284.0,"{3, 5, 6, 8, 9, 43, 46, 18, 31}",284,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.2565492321589882,0.8163145539906104,0.6496478873239437,2.449806269813316,0.8163145539906104,0.33321596244131435,0.10864996910095215,0.0012450218200683594,6,328,49,5,adult (14),"[44, 13, 20, 8, 45, 9]",,,-1
4,265.8333333333333,"{8, 9, 5, 46}",244.83333333333331,"{9, 18, 3, 5}",265.8333333333333,"{8, 9, 5, 46}",99.85000000000008,"{48, 41, 1, 7}",284.0,"{3, 5, 6, 8, 9, 43, 46, 18, 31}",284,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0857726344452008,0.9360328638497651,0.8620892018779343,2.662326823568684,0.9360328638497651,0.3515845070422538,0.2076740264892578,0.0011289119720458984,6,328,49,5,adult (14),"[44, 13, 20, 8, 45, 9]",,,-1
6,277.8333333333333,"{3, 5, 8, 9, 46, 31}",272.3333333333333,"{18, 3, 5, 8, 9, 31}",277.8333333333333,"{3, 5, 8, 9, 46, 31}",100.08333333333346,"{1, 7, 41, 14, 15, 17}",284.0,"{3, 5, 6, 8, 9, 43, 46, 18, 31}",284,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0201958384332925,0.9782863849765258,0.9589201877934271,2.776019983347207,0.9782863849765258,0.3524061032863854,0.3021841049194336,0.0010390281677246094,6,328,49,5,adult (14),"[44, 13, 20, 8, 45, 9]",,,-1
0,94.14285714285727,set(),94.14285714285727,set(),94.14285714285727,set(),94.14285714285727,set(),295.0,"{3, 5, 6, 8, 9, 40, 43, 46, 18, 31}",295,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.31912832929782126,0.31912832929782126,1.0,0.31912832929782126,0.31912832929782126,0.0010371208190917969,0.0010857582092285156,7,328,49,6,adult (14),"[44, 13, 20, 8, 45, 9, 22]",,,-1
2,244.8571428571427,"{9, 5}",195.99999999999974,"{18, 5}",244.8571428571427,"{9, 5}",94.40476190476205,"{41, 7}",295.0,"{3, 5, 6, 8, 9, 40, 43, 46, 18, 31}",295,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.24927113702624,0.8300242130750599,0.6644067796610161,2.5936948297603974,0.8300242130750599,0.32001614205004086,0.11878418922424316,0.0010972023010253906,7,328,49,6,adult (14),"[44, 13, 20, 8, 45, 9, 22]",,,-1
4,281.7142857142856,"{8, 9, 5, 46}",257.42857142857133,"{9, 18, 3, 5}",281.7142857142856,"{8, 9, 5, 46}",99.72380952380972,"{48, 41, 1, 7}",295.0,"{3, 5, 6, 8, 9, 40, 43, 46, 18, 31}",295,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0943396226415094,0.9549636803874089,0.8726392251815978,2.824945086429179,0.9549636803874089,0.3380468119451177,0.2233409881591797,0.0017080307006835938,7,328,49,6,adult (14),"[44, 13, 20, 8, 45, 9, 22]",,,-1
6,290.8571428571429,"{3, 5, 8, 9, 46, 31}",283.0,"{18, 3, 5, 8, 9, 31}",290.8571428571429,"{3, 5, 8, 9, 46, 31}",100.30000000000015,"{1, 7, 41, 14, 15, 17}",295.0,"{3, 5, 6, 8, 9, 40, 43, 46, 18, 31}",295,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.02776375567895,0.9859564164648912,0.9593220338983051,2.8998718131320285,0.9859564164648912,0.3400000000000005,0.33870983123779297,0.0012657642364501953,7,328,49,6,adult (14),"[44, 13, 20, 8, 45, 9, 22]",,,-1
0,96.25,set(),96.25,set(),96.25,set(),96.25,set(),309.0,"{3, 5, 6, 8, 9, 40, 43, 46, 18, 31}",309,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.31148867313915857,0.31148867313915857,1.0,0.31148867313915857,0.31148867313915857,0.0011172294616699219,0.001127004623413086,8,328,49,7,adult (14),"[44, 13, 20, 8, 45, 9, 22, 24]",,,-1
2,266.375,"{8, 9}",206.875,"{18, 5}",266.375,"{8, 9}",96.58928571428574,"{41, 7}",309.0,"{3, 5, 6, 8, 9, 40, 43, 46, 18, 31}",309,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.2876132930513595,0.8620550161812298,0.6694983818770227,2.7578110556479936,0.8620550161812298,0.3125866851595008,0.12260580062866211,0.0012340545654296875,8,328,49,7,adult (14),"[44, 13, 20, 8, 45, 9, 22, 24]",,,-1
