K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,graphid,dataset,group0edges,group1edges,group0targets,group1targets
0,121.16666666666667,set(),121.16666666666667,set(),121.16666666666667,set(),121.16666666666667,set(),216.0,"{6, 41, 42, 43, 44, 12, 14, 47, 13, 16, 24, 27, 28, 29, 30}",216,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.5609567901234568,0.5609567901234568,1.0,0.5609567901234568,0.5609567901234568,0.0007669925689697266,0.0008668899536132812,6,224,50,5,studentportuguese (30),,"[29, 40, 45, 8, 48, 31]",,1
2,178.16666666666669,"{42, 44}",157.66666666666666,"{44, 12}",178.16666666666669,"{42, 44}",124.63333333333331,"{40, 7}",216.0,"{6, 41, 42, 43, 44, 12, 14, 47, 13, 16, 24, 27, 28, 29, 30}",216,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1300211416490489,0.8248456790123457,0.7299382716049382,1.429526611393421,0.8248456790123457,0.5770061728395061,0.08213520050048828,0.0007328987121582031,6,224,50,5,studentportuguese (30),,"[29, 40, 45, 8, 48, 31]",,1
4,195.3333333333334,"{41, 42, 44, 28}",164.33333333333334,"{0, 19, 44, 12}",195.3333333333334,"{41, 42, 44, 28}",143.93333333333337,"{40, 1, 47, 7}",216.0,"{6, 41, 42, 43, 44, 12, 14, 47, 13, 16, 24, 27, 28, 29, 30}",216,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1886409736308319,0.9043209876543213,0.7608024691358025,1.3571097730430757,0.9043209876543213,0.6663580246913582,0.16750597953796387,0.0012171268463134766,6,224,50,5,studentportuguese (30),,"[29, 40, 45, 8, 48, 31]",,1
6,203.1666666666667,"{41, 42, 44, 28, 14, 47}",180.16666666666669,"{0, 18, 19, 41, 44, 12}",203.1666666666667,"{41, 42, 44, 14, 47, 28}",136.06666666666666,"{1, 7, 40, 14, 15, 17}",216.0,"{6, 41, 42, 43, 44, 12, 14, 47, 13, 16, 24, 27, 28, 29, 30}",216,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1276595744680853,0.9405864197530867,0.834104938271605,1.4931406173444395,0.9405864197530867,0.6299382716049382,0.22733187675476074,0.0008618831634521484,6,224,50,5,studentportuguese (30),,"[29, 40, 45, 8, 48, 31]",,1
0,121.0,set(),121.0,set(),121.0,set(),121.0,set(),218.0,"{39, 41, 42, 43, 44, 12, 13, 47, 23, 27, 28, 29, 30}",218,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.555045871559633,0.555045871559633,1.0,0.555045871559633,0.555045871559633,0.0008351802825927734,0.0008618831634521484,7,224,50,6,studentportuguese (30),,"[29, 40, 45, 8, 48, 31, 46]",,1
2,183.14285714285705,"{42, 44}",164.42857142857133,"{44, 12}",183.14285714285705,"{42, 44}",124.7142857142857,"{40, 7}",218.0,"{39, 41, 42, 43, 44, 12, 13, 47, 23, 27, 28, 29, 30}",218,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.113814074717637,0.8401048492791608,0.7542595019659235,1.4684994272623133,0.8401048492791608,0.5720838794233288,0.08550500869750977,0.0009112358093261719,7,224,50,6,studentportuguese (30),,"[29, 40, 45, 8, 48, 31, 46]",,1
4,198.8571428571428,"{41, 42, 44, 28}",169.71428571428564,"{0, 19, 44, 12}",198.8571428571428,"{41, 42, 44, 28}",148.9761904761905,"{40, 1, 47, 7}",218.0,"{39, 41, 42, 43, 44, 12, 13, 47, 23, 27, 28, 29, 30}",218,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.171717171717172,0.9121887287024899,0.7785058977719524,1.3348249960044742,0.9121887287024899,0.683377020532984,0.16872286796569824,0.0009362697601318359,7,224,50,6,studentportuguese (30),,"[29, 40, 45, 8, 48, 31, 46]",,1
6,207.28571428571425,"{39, 41, 42, 44, 28, 47}",186.71428571428564,"{0, 18, 19, 41, 44, 12}",207.28571428571425,"{39, 41, 42, 44, 47, 28}",137.67142857142858,"{1, 7, 40, 14, 15, 17}",218.0,"{39, 41, 42, 43, 44, 12, 13, 47, 23, 27, 28, 29, 30}",218,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1101759755164502,0.9508519003931847,0.8564875491480992,1.5056552869150146,0.9508519003931847,0.6315203145478375,0.3006117343902588,0.0011172294616699219,7,224,50,6,studentportuguese (30),,"[29, 40, 45, 8, 48, 31, 46]",,1
0,121.75,set(),121.75,set(),121.75,set(),121.75,set(),222.0,"{6, 39, 41, 42, 44, 12, 13, 14, 24, 27, 28, 29}",222,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.5484234234234234,0.5484234234234234,1.0,0.5484234234234234,0.5484234234234234,0.0010371208190917969,0.0011289119720458984,8,224,50,7,studentportuguese (30),,"[29, 40, 45, 8, 48, 31, 46, 33]",,1
2,193.0,"{42, 44}",173.0,"{44, 12}",193.0,"{42, 44}",125.62499999999999,"{40, 7}",222.0,"{6, 39, 41, 42, 44, 12, 13, 14, 24, 27, 28, 29}",222,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.115606936416185,0.8693693693693694,0.7792792792792793,1.5363184079601993,0.8693693693693694,0.5658783783783783,0.10622501373291016,0.0011930465698242188,8,224,50,7,studentportuguese (30),,"[29, 40, 45, 8, 48, 31, 46, 33]",,1
