K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,graphid,dataset,group0edges,group1edges,group0targets,group1targets
4,162.5,"{0, 2, 38, 6}",145.0,"{0, 27, 6, 7}",162.5,"{0, 2, 38, 6}",119.49999999999999,"{1, 18, 15, 7}",192.0,"{0, 33, 2, 38, 6, 39, 9, 7, 13, 18, 21, 24, 25, 27, 28}",192,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1206896551724137,0.8463541666666666,0.7552083333333334,1.3598326359832638,0.8463541666666666,0.6223958333333333,0.13057374954223633,0.0005812644958496094,4,206,39,3,studentmath (30),,"[15, 8, 17, 12]",,1
6,174.75,"{0, 2, 38, 6, 9, 28}",159.5,"{0, 7, 6, 39, 27, 28}",174.75,"{0, 2, 38, 6, 9, 28}",121.58333333333331,"{1, 7, 8, 14, 15, 18}",192.0,"{0, 33, 2, 38, 6, 39, 9, 7, 13, 18, 21, 24, 25, 27, 28}",192,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0956112852664577,0.91015625,0.8307291666666666,1.4372858122001373,0.91015625,0.6332465277777777,0.16785717010498047,0.00060272216796875,4,206,39,3,studentmath (30),,"[15, 8, 17, 12]",,1
0,106.39999999999993,set(),106.39999999999993,set(),106.39999999999993,set(),106.39999999999993,set(),198.0,"{0, 2, 38, 6, 39, 9, 7, 13, 21, 24, 27, 28}",198,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,0.5373737373737371,0.5373737373737371,1.0,0.5373737373737371,0.5373737373737371,0.0005960464477539062,0.0006458759307861328,5,206,39,4,studentmath (30),,"[15, 8, 17, 12, 0]",,1
2,155.4000000000001,"{2, 38}",141.20000000000002,"{0, 6}",155.4000000000001,"{2, 38}",127.39999999999996,"{1, 7}",198.0,"{0, 2, 38, 6, 39, 9, 7, 13, 21, 24, 27, 28}",198,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.100566572237961,0.7848484848484854,0.7131313131313132,1.2197802197802208,0.7848484848484854,0.6434343434343432,0.0566859245300293,0.0011260509490966797,5,206,39,4,studentmath (30),,"[15, 8, 17, 12, 0]",,1
4,175.80000000000007,"{0, 2, 28, 38}",159.80000000000004,"{0, 27, 6, 7}",175.80000000000007,"{0, 2, 28, 38}",131.14999999999995,"{1, 18, 15, 7}",198.0,"{0, 2, 38, 6, 39, 9, 7, 13, 21, 24, 27, 28}",198,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1001251564455572,0.8878787878787883,0.8070707070707073,1.3404498665650029,0.8878787878787883,0.6623737373737372,0.15580487251281738,0.0009458065032958984,5,206,39,4,studentmath (30),,"[15, 8, 17, 12, 0]",,1
6,186.20000000000005,"{0, 2, 38, 6, 9, 28}",176.6,"{0, 7, 6, 39, 27, 28}",186.20000000000005,"{0, 2, 38, 6, 9, 28}",132.68333333333328,"{1, 7, 8, 14, 15, 18}",198.0,"{0, 2, 38, 6, 39, 9, 7, 13, 21, 24, 27, 28}",198,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.05436013590034,0.9404040404040407,0.8919191919191919,1.4033412887828172,0.9404040404040407,0.6701178451178449,0.1622920036315918,0.0012128353118896484,5,206,39,4,studentmath (30),,"[15, 8, 17, 12, 0]",,1
0,104.83333333333341,set(),104.83333333333341,set(),104.83333333333341,set(),104.83333333333341,set(),200.0,"{0, 2, 38, 6, 39, 9, 7, 18, 21, 24, 28}",200,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,0.5241666666666671,0.5241666666666671,1.0,0.5241666666666671,0.5241666666666671,0.000982046127319336,0.0009379386901855469,6,206,39,5,studentmath (30),,"[15, 8, 17, 12, 0, 33]",,1
2,164.33333333333331,"{2, 38}",144.3333333333333,"{0, 6}",164.33333333333331,"{2, 38}",128.5,"{1, 7}",200.0,"{0, 2, 38, 6, 39, 9, 7, 18, 21, 24, 28}",200,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1385681293302543,0.8216666666666665,0.7216666666666665,1.278858625162127,0.8216666666666665,0.6425,0.05359506607055664,0.0009260177612304688,6,206,39,5,studentmath (30),,"[15, 8, 17, 12, 0, 33]",,1
4,183.66666666666663,"{0, 2, 28, 38}",162.99999999999991,"{0, 27, 6, 7}",183.66666666666663,"{0, 2, 28, 38}",133.36666666666665,"{1, 18, 15, 7}",200.0,"{0, 2, 38, 6, 39, 9, 7, 18, 21, 24, 28}",200,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.12678936605317,0.9183333333333331,0.8149999999999996,1.377155711072232,0.9183333333333331,0.6668333333333333,0.13396096229553223,0.0006897449493408203,6,206,39,5,studentmath (30),,"[15, 8, 17, 12, 0, 33]",,1
6,193.83333333333331,"{0, 2, 38, 6, 9, 28}",180.16666666666663,"{0, 7, 6, 39, 27, 28}",193.83333333333331,"{0, 2, 38, 6, 9, 28}",134.85000000000002,"{1, 7, 8, 14, 15, 18}",200.0,"{0, 2, 38, 6, 39, 9, 7, 18, 21, 24, 28}",200,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0758556891766884,0.9691666666666666,0.9008333333333332,1.437399579780002,0.9691666666666666,0.6742500000000001,0.21590781211853027,0.0007061958312988281,6,206,39,5,studentmath (30),,"[15, 8, 17, 12, 0, 33]",,1
0,107.28571428571425,set(),107.28571428571425,set(),107.28571428571425,set(),107.28571428571425,set(),204.0,"{0, 2, 38, 6, 9, 21, 28}",204,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,0.5259103641456581,0.5259103641456581,1.0,0.5259103641456581,0.5259103641456581,0.0015170574188232422,0.0011668205261230469,7,206,39,6,studentmath (30),,"[15, 8, 17, 12, 0, 33, 10]",,1
