[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
3,185.5984126984127,"{9, 2, 38}",3,112.7359047399884,"{17, 10, 3}","{17, 2, 3, 38, 9, 10}",186.40238095238095,7
4,187.20555555555558,"{0, 9, 2, 38}",2,107.77095597885159,"{10, 3}","{0, 2, 3, 38, 9, 10}",187.4,7
5,188.80555555555554,"{0, 2, 38, 9, 27}",1,102.75063102679371,{10},"{0, 2, 38, 9, 10, 27}",188.83333333333331,7
6,189.58333333333331,"{0, 2, 38, 9, 18, 27}",0,97.95856435731915,set(),"{0, 2, 18, 38, 9, 27}",189.58333333333331,7
0,97.44815332564832,set(),0,97.44815332564832,set(),set(),97.44815332564832,8
0,97.44815332564832,set(),2,105.7377457262659,"{10, 11}","{10, 11}",105.7377457262659,8
1,186.4421409278641,{2},1,101.442226533272,{11},"{2, 11}",186.96906565656565,8
2,191.67117604617604,"{2, 28}",0,97.44815332564832,set(),"{2, 28}",191.67117604617604,8
0,97.44815332564832,set(),4,114.80671734082011,"{3, 17, 10, 11}","{3, 17, 10, 11}",114.80671734082011,8
1,186.4421409278641,{2},3,110.26358266463036,"{3, 10, 11}","{10, 11, 2, 3}",187.88539377289374,8
2,191.67117604617604,"{2, 28}",2,105.7377457262659,"{10, 11}","{11, 2, 10, 28}",191.91468253968253,8
3,194.14141414141415,"{24, 2, 28}",1,101.442226533272,{11},"{24, 2, 11, 28}",194.2313492063492,8
4,195.8080808080808,"{24, 9, 2, 28}",0,97.44815332564832,set(),"{24, 9, 2, 28}",195.8080808080808,8
0,97.44815332564832,set(),6,124.1280140982289,"{34, 3, 35, 10, 11, 17}","{17, 34, 3, 35, 10, 11}",124.1280140982289,8
1,186.4421409278641,{2},5,119.48822574403287,"{3, 35, 10, 11, 17}","{17, 2, 3, 35, 10, 11}",188.67156454656453,8
2,191.67117604617604,"{2, 28}",4,114.80671734082011,"{3, 17, 10, 11}","{17, 2, 3, 10, 11, 28}",192.36904761904762,8
3,194.14141414141415,"{24, 2, 28}",3,110.26358266463036,"{3, 10, 11}","{2, 3, 24, 10, 11, 28}",194.4920634920635,8
4,195.8080808080808,"{24, 9, 2, 28}",2,105.7377457262659,"{10, 11}","{2, 24, 9, 10, 11, 28}",195.94444444444446,8
5,197.0,"{2, 6, 9, 24, 28}",1,101.442226533272,{11},"{2, 6, 24, 9, 11, 28}",197.0,8
6,197.0,"{2, 6, 9, 24, 28}",0,97.44815332564832,set(),"{2, 6, 24, 9, 28}",197.0,8
0,98.39984018958461,set(),0,98.39984018958461,set(),set(),98.39984018958461,9
0,98.39984018958461,set(),2,105.54996039912568,"{10, 11}","{10, 11}",105.54996039912568,9
1,197.35777777777776,{2},1,101.91165527320318,{10},"{2, 10}",197.56025641025641,9
2,200.18333333333334,"{2, 28}",0,98.39984018958461,set(),"{2, 28}",200.18333333333334,9
0,98.39984018958461,set(),4,113.42000607123533,"{3, 17, 10, 11}","{3, 17, 10, 11}",113.42000607123533,9
1,197.35777777777776,{2},3,109.45710597257457,"{3, 10, 11}","{10, 11, 2, 3}",197.87878787878788,9
2,200.18333333333334,"{2, 28}",2,105.54996039912568,"{10, 11}","{11, 2, 10, 28}",200.23333333333335,9
3,202.2,"{24, 2, 28}",1,101.91165527320318,{10},"{24, 2, 10, 28}",202.25,9
4,203.0,"{24, 2, 28, 7}",0,98.39984018958461,set(),"{24, 2, 28, 7}",203.0,9
0,98.39984018958461,set(),6,122.16780551597228,"{3, 37, 10, 11, 17, 29}","{17, 3, 37, 10, 11, 29}",122.16780551597228,9
1,197.35777777777776,{2},5,117.64106972683983,"{3, 37, 10, 11, 17}","{17, 2, 3, 37, 10, 11}",198.32748917748918,9
2,200.18333333333334,"{2, 28}",4,113.42000607123533,"{3, 17, 10, 11}","{17, 2, 3, 10, 11, 28}",200.23333333333335,9
3,202.2,"{24, 2, 28}",3,109.45710597257457,"{3, 10, 11}","{2, 3, 24, 10, 11, 28}",202.25,9
4,203.0,"{24, 2, 28, 7}",2,105.54996039912568,"{10, 11}","{2, 7, 24, 10, 11, 28}",203.0,9
5,203.0,"{24, 2, 28, 7}",1,101.91165527320318,{10},"{2, 7, 24, 10, 28}",203.0,9
6,203.0,"{24, 2, 28, 7}",0,98.39984018958461,set(),"{24, 2, 28, 7}",203.0,9
0,96.0839533827435,set(),0,96.0839533827435,set(),set(),96.0839533827435,10
0,96.0839533827435,set(),2,102.38925278570228,"{10, 11}","{10, 11}",102.38925278570228,10
1,201.56729055258467,{2},1,99.14254616157524,{10},"{2, 10}",201.67613636363637,10
2,202.77941176470588,"{2, 28}",0,96.0839533827435,set(),"{2, 28}",202.77941176470588,10
0,96.0839533827435,set(),4,109.33703767725399,"{3, 10, 11, 37}","{3, 10, 11, 37}",109.33703767725399,10
1,201.56729055258467,{2},3,105.77424044760934,"{3, 10, 11}","{10, 11, 2, 3}",201.85,10
2,202.77941176470588,"{2, 28}",2,102.38925278570228,"{10, 11}","{11, 2, 10, 28}",202.8125,10
3,203.52941176470588,"{24, 2, 28}",1,99.14254616157524,{10},"{24, 2, 10, 28}",203.5625,10
4,204.0,"{24, 2, 28, 6}",0,96.0839533827435,set(),"{24, 2, 28, 6}",204.0,10
