[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,42.397619047619045,set(),2,43.23095238095238,"{34, 46}","{34, 46}",43.23095238095238,2
1,42.397619047619045,{13},1,42.89761904761904,{46},"{13, 46}",42.89761904761904,2
2,42.397619047619045,"{0, 13}",0,42.397619047619045,set(),"{0, 13}",42.397619047619045,2
0,42.397619047619045,set(),4,44.48095238095238,"{32, 34, 37, 46}","{32, 34, 37, 46}",44.48095238095238,2
1,42.397619047619045,{13},3,44.147619047619045,"{32, 34, 46}","{32, 34, 13, 46}",44.147619047619045,2
2,42.397619047619045,"{0, 13}",2,43.23095238095238,"{34, 46}","{0, 34, 13, 46}",43.23095238095238,2
3,43.09761904761905,"{0, 24, 13}",1,42.89761904761904,{46},"{0, 24, 13, 46}",43.59761904761904,2
4,44.13928571428572,"{0, 24, 13, 47}",0,42.397619047619045,set(),"{0, 24, 13, 47}",44.13928571428572,2
0,42.397619047619045,set(),6,44.93095238095238,"{32, 34, 35, 37, 45, 46}","{32, 34, 35, 37, 45, 46}",44.93095238095238,2
1,42.397619047619045,{13},5,44.73095238095238,"{32, 34, 35, 37, 46}","{32, 34, 35, 37, 13, 46}",44.73095238095238,2
2,42.397619047619045,"{0, 13}",4,44.48095238095238,"{32, 34, 37, 46}","{0, 32, 34, 37, 13, 46}",44.48095238095238,2
3,43.09761904761905,"{0, 24, 13}",3,44.147619047619045,"{32, 34, 46}","{0, 32, 34, 24, 13, 46}",44.84761904761905,2
4,44.13928571428572,"{0, 24, 13, 47}",2,43.23095238095238,"{34, 46}","{0, 34, 24, 13, 46, 47}",44.13928571428572,2
5,45.21666666666667,"{0, 41, 13, 47, 24}",1,42.89761904761904,{46},"{0, 24, 41, 13, 46, 47}",45.21666666666667,2
6,45.55,"{0, 41, 12, 13, 47, 24}",0,42.397619047619045,set(),"{0, 24, 41, 12, 13, 47}",45.55,2
0,54.91973304473304,set(),0,54.91973304473304,set(),set(),54.91973304473304,3
