K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,graphid,dataset,group0edges,group1edges,group0targets,group1targets
4,41.666666666666664,"{0, 10, 28, 38}",39.0,"{0, 33, 28, 7}",41.666666666666664,"{0, 10, 28, 38}",37.13333333333333,"{0, 36, 6, 39}",42.0,"{0, 2, 38, 10, 28}",42,"{0, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 17, 24, 26, 28, 29, 31, 33, 34, 35, 36, 37, 38, 39}",1.0683760683760684,0.992063492063492,0.9285714285714286,1.1220825852782765,0.992063492063492,0.8841269841269841,0.031131267547607422,0.0004749298095703125,5.0,206,24,2,studentmath (30),,[],,1
6,42.0,"{17, 3, 35, 10, 11}",39.833333333333336,"{0, 33, 3, 7, 26, 28}",42.0,"{0, 2, 38, 10, 28}",39.83333333333333,"{0, 35, 36, 6, 10, 11}",42.0,"{0, 2, 38, 10, 28}",42,"{0, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 17, 24, 26, 28, 29, 31, 33, 34, 35, 36, 37, 38, 39}",1.0543933054393304,1.0,0.9484126984126985,1.0543933054393306,1.0,0.9484126984126983,0.05174565315246582,0.0003859996795654297,5.0,206,24,2,studentmath (30),,[],,1
0,53.19119769119769,set(),53.19119769119769,set(),53.19119769119769,set(),53.19119769119769,set(),75.0,"{1, 2, 38, 7, 39, 10, 17, 28}",75,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 23, 24, 25, 26, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39}",1.0,0.7092159692159692,0.7092159692159692,1.0,0.7092159692159692,0.7092159692159692,0.000591278076171875,0.0005266666412353516,5.5,206,32,3,studentmath (30),,[],,1
2,69.0,"{2, 38}",57.876515151515136,"{8, 3}",69.0,"{2, 38}",61.00429292929292,"{1, 7}",75.0,"{1, 2, 38, 7, 39, 10, 17, 28}",75,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 23, 24, 25, 26, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39}",1.192193410736024,0.92,0.7716868686868685,1.131067941070549,0.92,0.8133905723905723,0.028468847274780273,0.00042819976806640625,5.5,206,32,3,studentmath (30),,[],,1
4,72.45151515151514,"{17, 10, 3, 38}",62.45737595737594,"{8, 10, 3, 29}",72.16666666666666,"{17, 2, 38, 39}",63.29794372294372,"{1, 23, 17, 7}",75.0,"{1, 2, 38, 7, 39, 10, 17, 28}",75,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 23, 24, 25, 26, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39}",1.1600153551273065,0.9660202020202019,0.8327650127650125,1.1401107590878703,0.9622222222222221,0.8439725829725829,0.0669550895690918,0.0006427764892578125,5.5,206,32,3,studentmath (30),,[],,1
6,73.66666666666666,"{1, 2, 39, 38, 7, 28}",64.57404262404259,"{3, 37, 8, 10, 29, 30}",74.0,"{2, 38, 7, 39, 10, 17}",65.21666666666667,"{0, 35, 39, 8, 7, 30}",75.0,"{1, 2, 38, 7, 39, 10, 17, 28}",75,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 23, 24, 25, 26, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39}",1.1408092737133149,0.9822222222222221,0.8609872349872345,1.1346792742141578,0.9866666666666667,0.8695555555555555,0.08641815185546875,0.0005221366882324219,5.5,206,32,3,studentmath (30),,[],,1
0,75.87098595848592,set(),75.87098595848592,set(),75.87098595848592,set(),75.87098595848592,set(),118.0,"{0, 2, 38, 39, 6, 25, 28, 31}",118,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,0.6429744572753043,0.6429744572753043,1.0,0.6429744572753043,0.6429744572753043,0.0005047321319580078,0.0005521774291992188,6.0,206,38,4,studentmath (30),,[],,1
2,106.6702380952381,"{2, 38}",97.79761904761904,"{0, 6}",106.6702380952381,"{2, 38}",89.90992063492064,"{1, 7}",118.0,"{0, 2, 38, 39, 6, 25, 28, 31}",118,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0907242848447962,0.9039850686037127,0.8287933817594834,1.1864123262701205,0.9039850686037127,0.7619484799569546,0.05359220504760742,0.0006928443908691406,6.0,206,38,4,studentmath (30),,[],,1
4,112.5,"{25, 2, 38, 6}",104.1452380952381,"{0, 27, 6, 7}",112.5,"{25, 2, 38, 6}",90.74325396825397,"{1, 18, 15, 7}",118.0,"{0, 2, 38, 39, 6, 25, 28, 31}",118,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0802222171418119,0.9533898305084746,0.8825867635189669,1.2397615809474665,0.9533898305084746,0.7690106268496099,0.1063232421875,0.0009951591491699219,6.0,206,38,4,studentmath (30),,[],,1
6,116.5,"{33, 2, 38, 39, 6, 25}",109.83333333333331,"{0, 7, 6, 39, 27, 28}",116.5,"{2, 38, 39, 6, 25, 28}",91.5468253968254,"{1, 7, 8, 14, 15, 18}",118.0,"{0, 2, 38, 39, 6, 25, 28, 31}",118,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0606980273141124,0.9872881355932204,0.9307909604519773,1.272572800804515,0.9872881355932204,0.7758205542103848,0.20616912841796875,0.0012652873992919922,6.0,206,38,4,studentmath (30),,[],,1
