[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,107.75,set(),2,112.02976190476188,"{8, 36}","{8, 36}",112.02976190476188,7
1,142.5,{6},1,109.98214285714285,{36},"{36, 6}",143.875,7
2,160.75,"{0, 6}",0,107.75,set(),"{0, 6}",160.75,7
0,107.75,set(),4,120.88333333333328,"{8, 3, 36, 15}","{8, 3, 36, 15}",120.88333333333328,7
1,142.5,{6},3,120.24642857142852,"{8, 3, 36}","{8, 3, 36, 6}",150.22857142857143,7
2,160.75,"{0, 6}",2,112.02976190476188,"{8, 36}","{0, 8, 36, 6}",162.5535714285714,7
3,165.375,"{0, 27, 6}",1,109.98214285714285,{36},"{0, 27, 36, 6}",166.375,7
4,179.625,"{0, 27, 6, 7}",0,107.75,set(),"{0, 27, 6, 7}",179.625,7
0,107.75,set(),6,123.0011904761904,"{32, 3, 36, 8, 14, 15}","{32, 3, 36, 8, 14, 15}",123.0011904761904,7
1,142.5,{6},5,122.10357142857136,"{3, 36, 8, 14, 15}","{3, 36, 6, 8, 14, 15}",151.3654761904762,7
2,160.75,"{0, 6}",4,120.88333333333328,"{8, 3, 36, 15}","{0, 3, 36, 6, 8, 15}",166.1511904761905,7
3,165.375,"{0, 27, 6}",3,120.24642857142852,"{8, 3, 36}","{0, 3, 36, 6, 8, 27}",170.28214285714287,7
4,179.625,"{0, 27, 6, 7}",2,112.02976190476188,"{8, 36}","{0, 36, 6, 7, 8, 27}",180.86309523809524,7
5,182.875,"{0, 6, 39, 7, 27}",1,109.98214285714285,{36},"{0, 7, 36, 6, 39, 27}",183.5,7
6,195.75,"{0, 6, 39, 7, 27, 28}",0,107.75,set(),"{0, 7, 6, 39, 27, 28}",195.75,7
0,108.8888888888889,set(),0,108.8888888888889,set(),set(),108.8888888888889,8
0,108.8888888888889,set(),2,112.9384920634921,"{8, 36}","{8, 36}",112.9384920634921,8
1,148.8888888888889,{6},1,111.00000000000001,{36},"{36, 6}",150.1388888888889,8
2,167.11111111111123,"{0, 6}",0,108.8888888888889,set(),"{0, 6}",167.11111111111123,8
0,108.8888888888889,set(),4,121.49404761904768,"{8, 3, 36, 15}","{8, 3, 36, 15}",121.49404761904768,8
1,148.8888888888889,{6},3,120.86904761904766,"{8, 3, 36}","{8, 3, 36, 6}",155.12103174603175,8
2,167.11111111111123,"{0, 6}",2,112.9384920634921,"{8, 36}","{0, 8, 36, 6}",168.65277777777783,8
3,172.1111111111112,"{0, 27, 6}",1,111.00000000000001,{36},"{0, 27, 36, 6}",172.94444444444449,8
4,185.6666666666667,"{0, 27, 6, 7}",0,108.8888888888889,set(),"{0, 27, 6, 7}",185.6666666666667,8
0,108.8888888888889,set(),6,123.55079365079374,"{32, 3, 36, 8, 14, 15}","{32, 3, 36, 8, 14, 15}",123.55079365079374,8
1,148.8888888888889,{6},5,122.71825396825405,"{3, 36, 8, 14, 15}","{3, 36, 6, 8, 14, 15}",156.09722222222223,8
2,167.11111111111123,"{0, 6}",4,121.49404761904768,"{8, 3, 36, 15}","{0, 3, 36, 6, 8, 15}",171.22817460317458,8
3,172.1111111111112,"{0, 27, 6}",3,120.86904761904766,"{8, 3, 36}","{0, 3, 36, 6, 8, 27}",175.73214285714286,8
4,185.6666666666667,"{0, 27, 6, 7}",2,112.9384920634921,"{8, 36}","{0, 36, 6, 7, 8, 27}",186.49206349206352,8
5,187.77777777777783,"{0, 6, 39, 7, 27}",1,111.00000000000001,{36},"{0, 7, 36, 6, 39, 27}",188.20833333333337,8
6,197.7777777777778,"{0, 6, 39, 7, 27, 28}",0,108.8888888888889,set(),"{0, 7, 6, 39, 27, 28}",197.7777777777778,8
0,108.59999999999997,set(),0,108.59999999999997,set(),set(),108.59999999999997,9
0,108.59999999999997,set(),2,112.5138888888888,"{8, 36}","{8, 36}",112.5138888888888,9
1,153.0,{6},1,110.58888888888883,{36},"{36, 6}",154.07777777777773,9
2,170.80000000000004,"{0, 6}",0,108.59999999999997,set(),"{0, 6}",170.80000000000004,9
0,108.59999999999997,set(),4,120.69999999999989,"{8, 3, 36, 15}","{8, 3, 36, 15}",120.69999999999989,9
1,153.0,{6},3,120.14722222222213,"{8, 3, 36}","{8, 3, 36, 6}",158.76428571428565,9
2,170.80000000000004,"{0, 6}",2,112.5138888888888,"{8, 36}","{0, 8, 36, 6}",172.14444444444447,9
3,177.10000000000005,"{0, 27, 6}",1,110.58888888888883,{36},"{0, 27, 36, 6}",177.81111111111113,9
4,189.5,"{0, 27, 6, 7}",0,108.59999999999997,set(),"{0, 27, 6, 7}",189.5,9
0,108.59999999999997,set(),6,122.83373015873003,"{32, 3, 36, 8, 14, 15}","{32, 3, 36, 8, 14, 15}",122.83373015873003,9
1,153.0,{6},5,122.02499999999989,"{3, 36, 8, 14, 15}","{3, 36, 6, 8, 14, 15}",159.66785714285706,9
2,170.80000000000004,"{0, 6}",4,120.69999999999989,"{8, 3, 36, 15}","{0, 3, 36, 6, 8, 15}",174.24206349206355,9
3,177.10000000000005,"{0, 27, 6}",3,120.14722222222213,"{8, 3, 36}","{0, 3, 36, 6, 8, 27}",180.00317460317467,9
4,189.5,"{0, 27, 6, 7}",2,112.5138888888888,"{8, 36}","{0, 36, 6, 7, 8, 27}",190.08055555555555,9
5,192.5,"{0, 6, 39, 7, 27}",1,110.58888888888883,{36},"{0, 7, 36, 6, 39, 27}",192.78888888888886,9
6,200.20000000000002,"{0, 6, 39, 7, 27, 28}",0,108.59999999999997,set(),"{0, 7, 6, 39, 27, 28}",200.20000000000002,9
