K,B,Sg,Sg_lbls,F(Sg),Sgb,Sgb_lbls,F(Sgb)b4B,F(Sgb),Boostedgb,usedBbudgetgb,Sbg,Sbg_lbls,F(Sbg)b4B,F(Sbg),Boostedbg,usedBbudgetbg,r,n,m,greedyTime,greedyBoostTime,boostGreedyTime,dataset,graphid
1,3,{6},{6: 1},103.05819599503809,{6},{6: 1},103.05819599503809,106.05819599503809,"[4, 19, 73]",3,{6},{6: 1},103.05819599503809,106.05819599503809,"[4, 19, 73]",3,4.5,112,50,0.1097259521484375,0.1148228645324707,0.1175849437713623,productivity (11),1
1,2,{6},{6: 1},103.05819599503809,{6},{6: 1},103.05819599503809,105.05819599503809,"[4, 19]",2,{6},{6: 1},103.05819599503809,105.05819599503809,"[4, 19]",2,4.5,112,50,0.09892511367797852,0.10470294952392578,0.10640692710876465,productivity (11),1
1,1,{6},{6: 1},103.05819599503809,{6},{6: 1},103.05819599503809,104.05819599503809,[4],1,{6},{6: 1},103.05819599503809,104.05819599503809,[4],1,4.5,112,50,0.11092090606689453,0.10772585868835449,0.10168600082397461,productivity (11),1
1,0,{6},{6: 1},103.05819599503809,{6},{6: 1},103.05819599503809,103.05819599503809,[],0,{6},{6: 1},103.05819599503809,103.05819599503809,[],0,4.5,112,50,0.09448003768920898,0.09883809089660645,0.09568929672241211,productivity (11),1
2,4,"{2, 6}","{2: 1, 6: 1}",104.78148148148148,"{2, 6}","{2: 1, 6: 1}",104.78148148148148,108.78148148148148,"[4, 19, 73, 74]",4,"{2, 6}","{2: 1, 6: 1}",104.78148148148148,108.78148148148148,"[4, 19, 73, 74]",4,4.5,112,50,0.18946003913879395,0.18457603454589844,0.18749690055847168,productivity (11),1
2,3,"{2, 6}","{2: 1, 6: 1}",104.78148148148148,"{2, 6}","{2: 1, 6: 1}",104.78148148148148,107.78148148148148,"[4, 19, 73]",3,"{2, 6}","{2: 1, 6: 1}",104.78148148148148,107.78148148148148,"[4, 19, 73]",3,4.5,112,50,0.1906290054321289,0.19838500022888184,0.19974923133850098,productivity (11),1
2,2,"{2, 6}","{2: 1, 6: 1}",104.78148148148148,"{2, 6}","{2: 1, 6: 1}",104.78148148148148,106.78148148148148,"[4, 19]",2,"{2, 6}","{2: 1, 6: 1}",104.78148148148148,106.78148148148148,"[4, 19]",2,4.5,112,50,0.19762587547302246,0.21337008476257324,0.22948575019836426,productivity (11),1
2,1,"{2, 6}","{2: 1, 6: 1}",104.78148148148148,"{2, 6}","{2: 1, 6: 1}",104.78148148148148,105.78148148148148,[4],1,"{2, 6}","{2: 1, 6: 1}",104.78148148148148,105.78148148148148,[4],1,4.5,112,50,0.23616576194763184,0.19476103782653809,0.1918652057647705,productivity (11),1
2,0,"{2, 6}","{2: 1, 6: 1}",104.78148148148148,"{2, 6}","{2: 1, 6: 1}",104.78148148148148,104.78148148148148,[],0,"{2, 6}","{2: 1, 6: 1}",104.78148148148148,104.78148148148148,[],0,4.5,112,50,0.19322490692138672,0.20086312294006348,0.19643592834472656,productivity (11),1
3,4,"{16, 2, 6}","{16: 1, 2: 1, 6: 1}",105.66666666666666,"{16, 2, 6}","{16: 1, 2: 1, 6: 1}",105.66666666666666,109.66666666666666,"[4, 19, 73, 74]",4,"{16, 2, 6}","{16: 1, 2: 1, 6: 1}",105.66666666666666,109.66666666666666,"[4, 19, 73, 74]",4,4.5,112,50,0.3712480068206787,0.34206295013427734,0.3380129337310791,productivity (11),1
3,3,"{16, 2, 6}","{16: 1, 2: 1, 6: 1}",105.66666666666666,"{16, 2, 6}","{16: 1, 2: 1, 6: 1}",105.66666666666666,108.66666666666666,"[4, 19, 73]",3,"{16, 2, 6}","{16: 1, 2: 1, 6: 1}",105.66666666666666,108.66666666666666,"[4, 19, 73]",3,4.5,112,50,0.30113720893859863,0.3392941951751709,0.29579710960388184,productivity (11),1
3,2,"{16, 2, 6}","{16: 1, 2: 1, 6: 1}",105.66666666666666,"{16, 2, 6}","{16: 1, 2: 1, 6: 1}",105.66666666666666,107.66666666666666,"[4, 19]",2,"{16, 2, 6}","{16: 1, 2: 1, 6: 1}",105.66666666666666,107.66666666666666,"[4, 19]",2,4.5,112,50,0.34241414070129395,0.31583309173583984,0.3018190860748291,productivity (11),1
3,1,"{16, 2, 6}","{16: 1, 2: 1, 6: 1}",105.66666666666666,"{16, 2, 6}","{16: 1, 2: 1, 6: 1}",105.66666666666666,106.66666666666666,[4],1,"{16, 2, 6}","{16: 1, 2: 1, 6: 1}",105.66666666666666,106.66666666666666,[4],1,4.5,112,50,0.3310580253601074,0.29505324363708496,0.29555177688598633,productivity (11),1
3,0,"{16, 2, 6}","{16: 1, 2: 1, 6: 1}",105.66666666666666,"{16, 2, 6}","{16: 1, 2: 1, 6: 1}",105.66666666666666,105.66666666666666,[],0,"{16, 2, 6}","{16: 1, 2: 1, 6: 1}",105.66666666666666,105.66666666666666,[],0,4.5,112,50,0.29222822189331055,0.28252482414245605,0.2905237674713135,productivity (11),1
4,4,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,110.0,"[4, 19, 73, 74]",4,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,110.0,"[4, 19, 73, 74]",4,4.5,112,50,0.38205504417419434,0.38408875465393066,0.42089009284973145,productivity (11),1
4,3,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,109.0,"[4, 19, 73]",3,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,109.0,"[4, 19, 73]",3,4.5,112,50,0.3879401683807373,0.41182494163513184,0.4362330436706543,productivity (11),1
4,2,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,108.0,"[4, 19]",2,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,108.0,"[4, 19]",2,4.5,112,50,0.4156830310821533,0.41305017471313477,0.3985869884490967,productivity (11),1
4,1,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,107.0,[4],1,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,107.0,[4],1,4.5,112,50,0.40326905250549316,0.4096231460571289,0.43892574310302734,productivity (11),1
4,0,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,106.0,[],0,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,106.0,[],0,4.5,112,50,0.39966273307800293,0.44253015518188477,0.47573184967041016,productivity (11),1
5,4,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,110.0,"[4, 19, 73, 74]",4,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,110.0,"[4, 19, 73, 74]",4,4.5,112,50,0.48446083068847656,0.562615156173706,0.4983217716217041,productivity (11),1
5,3,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,109.0,"[4, 19, 73]",3,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,109.0,"[4, 19, 73]",3,4.5,112,50,0.5352661609649658,0.5190918445587158,0.5538191795349121,productivity (11),1
5,2,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,108.0,"[4, 19]",2,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,108.0,"[4, 19]",2,4.5,112,50,0.496427059173584,0.5154681205749512,0.4816591739654541,productivity (11),1
5,1,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,107.0,[4],1,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,107.0,[4],1,4.5,112,50,0.495574951171875,0.49369096755981445,0.4668459892272949,productivity (11),1
5,0,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,106.0,[],0,"{16, 2, 10, 6}","{16: 1, 2: 1, 10: 1, 6: 1}",106.0,106.0,[],0,4.5,112,50,0.4734690189361572,0.5436601638793945,0.5062000751495361,productivity (11),1
1,4,{6},{6: 1},105.025,{6},{6: 1},105.025,109.025,"[4, 19, 73, 74]",4,{6},{6: 1},105.025,109.025,"[4, 19, 73, 74]",4,5.0,112,50,0.1224210262298584,0.13195180892944336,0.1256859302520752,productivity (11),2
1,3,{6},{6: 1},105.025,{6},{6: 1},105.025,108.025,"[4, 19, 73]",3,{6},{6: 1},105.025,108.025,"[4, 19, 73]",3,5.0,112,50,0.13090920448303223,0.131134033203125,0.13152599334716797,productivity (11),2
1,2,{6},{6: 1},105.025,{6},{6: 1},105.025,107.025,"[4, 19]",2,{6},{6: 1},105.025,107.025,"[4, 19]",2,5.0,112,50,0.1194920539855957,0.11904573440551758,0.12255311012268066,productivity (11),2
1,1,{6},{6: 1},105.025,{6},{6: 1},105.025,106.025,[4],1,{6},{6: 1},105.025,106.025,[4],1,5.0,112,50,0.12199616432189941,0.12820696830749512,0.12394404411315918,productivity (11),2
1,0,{6},{6: 1},105.025,{6},{6: 1},105.025,105.025,[],0,{6},{6: 1},105.025,105.025,[],0,5.0,112,50,0.11140012741088867,0.11861705780029297,0.12206292152404785,productivity (11),2
2,4,"{16, 6}","{16: 1, 6: 1}",105.625,"{16, 6}","{16: 1, 6: 1}",105.625,109.625,"[4, 19, 73, 74]",4,"{16, 6}","{16: 1, 6: 1}",105.625,109.625,"[4, 19, 73, 74]",4,5.0,112,50,0.2313849925994873,0.2393040657043457,0.24278974533081055,productivity (11),2
2,3,"{16, 6}","{16: 1, 6: 1}",105.625,"{16, 6}","{16: 1, 6: 1}",105.625,108.625,"[4, 19, 73]",3,"{16, 6}","{16: 1, 6: 1}",105.625,108.625,"[4, 19, 73]",3,5.0,112,50,0.23809480667114258,0.24800586700439453,0.24285531044006348,productivity (11),2
2,2,"{16, 6}","{16: 1, 6: 1}",105.625,"{16, 6}","{16: 1, 6: 1}",105.625,107.625,"[4, 19]",2,"{16, 6}","{16: 1, 6: 1}",105.625,107.625,"[4, 19]",2,5.0,112,50,0.2433149814605713,0.23590612411499023,0.2304081916809082,productivity (11),2
2,1,"{16, 6}","{16: 1, 6: 1}",105.625,"{16, 6}","{16: 1, 6: 1}",105.625,106.625,[4],1,"{16, 6}","{16: 1, 6: 1}",105.625,106.625,[4],1,5.0,112,50,0.22608709335327148,0.22388887405395508,0.2550852298736572,productivity (11),2
2,0,"{16, 6}","{16: 1, 6: 1}",105.625,"{16, 6}","{16: 1, 6: 1}",105.625,105.625,[],0,"{16, 6}","{16: 1, 6: 1}",105.625,105.625,[],0,5.0,112,50,0.22785377502441406,0.23344898223876953,0.2500321865081787,productivity (11),2
3,4,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,110.0,"[4, 19, 73, 74]",4,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,110.0,"[4, 19, 73, 74]",4,5.0,112,50,0.3395709991455078,0.33701300621032715,0.3483090400695801,productivity (11),2
3,3,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,109.0,"[4, 19, 73]",3,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,109.0,"[4, 19, 73]",3,5.0,112,50,0.3429732322692871,0.3328988552093506,0.33576512336730957,productivity (11),2
3,2,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,108.0,"[4, 19]",2,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,108.0,"[4, 19]",2,5.0,112,50,0.33508801460266113,0.3422858715057373,0.35272812843322754,productivity (11),2
3,1,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,107.0,[4],1,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,107.0,[4],1,5.0,112,50,0.35698890686035156,0.3599870204925537,0.3631720542907715,productivity (11),2
3,0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,106.0,[],0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,106.0,[],0,5.0,112,50,0.36197471618652344,0.35906314849853516,0.3380260467529297,productivity (11),2
4,4,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,110.0,"[4, 19, 73, 74]",4,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,110.0,"[4, 19, 73, 74]",4,5.0,112,50,0.4649651050567627,0.493635892868042,0.4670681953430176,productivity (11),2
4,3,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,109.0,"[4, 19, 73]",3,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,109.0,"[4, 19, 73]",3,5.0,112,50,0.4364132881164551,0.4712529182434082,0.4793870449066162,productivity (11),2
4,2,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,108.0,"[4, 19]",2,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,108.0,"[4, 19]",2,5.0,112,50,0.49626588821411133,0.4858992099761963,0.4736151695251465,productivity (11),2
4,1,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,107.0,[4],1,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,107.0,[4],1,5.0,112,50,0.46401190757751465,0.45880722999572754,0.4447338581085205,productivity (11),2
4,0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,106.0,[],0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,106.0,[],0,5.0,112,50,0.4348108768463135,0.44089221954345703,0.4469311237335205,productivity (11),2
5,4,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,110.0,"[4, 19, 73, 74]",4,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,110.0,"[4, 19, 73, 74]",4,5.0,112,50,0.4683709144592285,0.48084497451782227,0.454387903213501,productivity (11),2
5,3,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,109.0,"[4, 19, 73]",3,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,109.0,"[4, 19, 73]",3,5.0,112,50,0.441694974899292,0.44740867614746094,0.4502902030944824,productivity (11),2
5,2,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,108.0,"[4, 19]",2,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,108.0,"[4, 19]",2,5.0,112,50,0.43166518211364746,0.44822192192077637,0.45160484313964844,productivity (11),2
5,1,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,107.0,[4],1,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,107.0,[4],1,5.0,112,50,0.44421815872192383,0.43828797340393066,0.446458101272583,productivity (11),2
5,0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,106.0,[],0,"{16, 1, 6}","{16: 1, 1: 1, 6: 1}",106.0,106.0,[],0,5.0,112,50,0.4514172077178955,0.47437381744384766,0.5400252342224121,productivity (11),2
1,4,{6},{6: 1},105.71428571428572,{6},{6: 1},105.71428571428572,109.71428571428572,"[4, 19, 73, 74]",4,{6},{6: 1},105.71428571428572,109.71428571428572,"[4, 19, 73, 74]",4,5.5,112,50,0.1739192008972168,0.1464393138885498,0.14214301109313965,productivity (11),3
1,3,{6},{6: 1},105.71428571428572,{6},{6: 1},105.71428571428572,108.71428571428572,"[4, 19, 73]",3,{6},{6: 1},105.71428571428572,108.71428571428572,"[4, 19, 73]",3,5.5,112,50,0.14849591255187988,0.1457059383392334,0.14300012588500977,productivity (11),3
1,2,{6},{6: 1},105.71428571428572,{6},{6: 1},105.71428571428572,107.71428571428572,"[4, 19]",2,{6},{6: 1},105.71428571428572,107.71428571428572,"[4, 19]",2,5.5,112,50,0.1381669044494629,0.1439499855041504,0.17674803733825684,productivity (11),3
1,1,{6},{6: 1},105.71428571428572,{6},{6: 1},105.71428571428572,106.71428571428572,[4],1,{6},{6: 1},105.71428571428572,106.71428571428572,[4],1,5.5,112,50,0.1482250690460205,0.1468188762664795,0.1424250602722168,productivity (11),3
1,0,{6},{6: 1},105.71428571428572,{6},{6: 1},105.71428571428572,105.71428571428572,[],0,{6},{6: 1},105.71428571428572,105.71428571428572,[],0,5.5,112,50,0.13016104698181152,0.1408250331878662,0.13943982124328613,productivity (11),3
2,4,"{1, 6}","{1: 1, 6: 1}",106.0,"{1, 6}","{1: 1, 6: 1}",106.0,110.0,"[4, 19, 73, 74]",4,"{1, 6}","{1: 1, 6: 1}",106.0,110.0,"[4, 19, 73, 74]",4,5.5,112,50,0.28511786460876465,0.2671511173248291,0.2602498531341553,productivity (11),3
2,3,"{1, 6}","{1: 1, 6: 1}",106.0,"{1, 6}","{1: 1, 6: 1}",106.0,109.0,"[4, 19, 73]",3,"{1, 6}","{1: 1, 6: 1}",106.0,109.0,"[4, 19, 73]",3,5.5,112,50,0.2843499183654785,0.27920007705688477,0.281688928604126,productivity (11),3
